Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unmatched_applicants,287.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,207.0,204.0,207.0,205.0,213.0,214.0,217.0,220.0,223.0,231.0,228.0,234.0,236.0,239.0,253.0,256.0
unmatched_applicants,287.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,208.0,217.0,217.0,219.0,223.0,230.0,227.0,234.0,239.0,239.0,256.0,259.0
unmatched_applicants,288.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,205.0,211.0,215.0,212.0,217.0,221.0,227.0,228.0,234.0,236.0,239.0,252.0,259.0
unmatched_applicants,291.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,206.0,208.0,214.0,215.0,221.0,223.0,229.0,230.0,236.0,234.0,241.0,249.0,265.0
unmatched_applicants,289.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,209.0,209.0,214.0,218.0,220.0,222.0,228.0,226.0,234.0,237.0,239.0,252.0,256.0
unmatched_applicants,291.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,204.0,206.0,208.0,216.0,212.0,221.0,225.0,225.0,227.0,234.0,234.0,243.0,248.0,260.0
unmatched_applicants,290.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,206.0,204.0,207.0,207.0,217.0,215.0,220.0,225.0,228.0,228.0,234.0,237.0,242.0,248.0,257.0
unmatched_applicants,287.0,207.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,209.0,214.0,217.0,211.0,215.0,224.0,229.0,227.0,234.0,236.0,242.0,251.0,263.0
unmatched_applicants,290.0,206.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,204.0,208.0,210.0,214.0,213.0,219.0,225.0,228.0,229.0,234.0,234.0,238.0,252.0,256.0
unmatched_applicants,292.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,205.0,207.0,204.0,212.0,211.0,214.0,217.0,224.0,226.0,228.0,234.0,239.0,241.0,245.0,260.0
