Parameter,0,1,2,3,4,5,6
unmatched_applicants,1060.0,1036.0,1035.0,1035.0,1035.0,1036.0,1038.0
unmatched_applicants,1054.0,1035.0,1035.0,1035.0,1035.0,1035.0,1041.0
unmatched_applicants,1049.0,1037.0,1035.0,1035.0,1035.0,1035.0,1040.0
unmatched_applicants,1051.0,1035.0,1035.0,1035.0,1035.0,1035.0,1044.0
unmatched_applicants,1059.0,1036.0,1035.0,1035.0,1035.0,1039.0,1037.0
unmatched_applicants,1059.0,1035.0,1037.0,1035.0,1035.0,1035.0,1036.0
unmatched_applicants,1055.0,1035.0,1035.0,1036.0,1035.0,1035.0,1045.0
unmatched_applicants,1052.0,1035.0,1035.0,1035.0,1035.0,1036.0,1039.0
unmatched_applicants,1057.0,1038.0,1035.0,1035.0,1035.0,1035.0,1038.0
unmatched_applicants,1059.0,1036.0,1035.0,1035.0,1035.0,1035.0,1047.0
unfilled_spots,25.0,1.0,0.0,0.0,0.0,1.0,3.0
unfilled_spots,19.0,0.0,0.0,0.0,0.0,0.0,6.0
unfilled_spots,14.0,2.0,0.0,0.0,0.0,0.0,5.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,9.0
unfilled_spots,24.0,1.0,0.0,0.0,0.0,4.0,2.0
unfilled_spots,24.0,0.0,2.0,0.0,0.0,0.0,1.0
unfilled_spots,20.0,0.0,0.0,1.0,0.0,0.0,10.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,1.0,4.0
unfilled_spots,22.0,3.0,0.0,0.0,0.0,0.0,3.0
unfilled_spots,24.0,1.0,0.0,0.0,0.0,0.0,12.0
reviews_per_program,59.7816091954023,59.7816091954023,58.934865900383144,46.78544061302682,38.13793103448276,42.90421455938697,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,59.00766283524904,46.088122605363985,37.31417624521073,42.89272030651341,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,57.85823754789272,45.95402298850575,37.61302681992337,42.946360153256705,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,58.1455938697318,46.02298850574713,37.87356321839081,43.01149425287356,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,59.111111111111114,46.72030651340996,37.28352490421456,42.76628352490422,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,57.83524904214559,45.18773946360153,37.900383141762454,42.99233716475096,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,58.770114942528735,46.42911877394636,38.03448275862069,42.86206896551724,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,58.42528735632184,46.04597701149425,37.68582375478927,42.95019157088122,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,58.62068965517241,46.22222222222222,37.37547892720306,42.85057471264368,51.241379310344826
reviews_per_program,59.7816091954023,59.7816091954023,58.34099616858238,47.195402298850574,37.839080459770116,42.81992337164751,51.241379310344826
pct_interview_given_signal,0.0,1.0,0.9984297891431135,0.9412292507851054,0.7863391655450875,0.642440556303275,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9979811574697174,0.9359952145954837,0.7892552714221625,0.6419919246298789,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9964109466128309,0.9377897412890683,0.7923956931359354,0.6417227456258412,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9957379991027366,0.9401824435471811,0.7898160610139076,0.6421713772992373,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9993270524899058,0.9322566173171826,0.7876850605652759,0.642440556303275,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9977568416330193,0.9425751458052939,0.7873485868102288,0.6419919246298789,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9984297891431135,0.9440705847166143,0.7889187976671153,0.6419919246298789,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9961866307761328,0.9394347240915208,0.787909376401974,0.641633019291162,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9979811574697174,0.9374906535068043,0.7931807985643786,0.642081650964558,0.5356662180349933
pct_interview_given_signal,0.0,1.0,0.9975325257963212,0.9289666517122775,0.7900403768506057,0.6417227456258412,0.5356662180349933
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.24342754598474653,0.09757738896366083,0.02288021534320323,0.0008972633467922835,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.24360699865410498,0.10150291610587707,0.018992074173770003,0.002018842530282638,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.2442350829968596,0.10015702108568865,0.014804845222072678,0.0026917900403768506,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.24450426200089725,0.09836249439210408,0.018244354718109767,0.0015702108568864963,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.24306864064602962,0.10430686406460296,0.021085688649618663,0.0008972633467922835,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.2436967249887842,0.09656796769851951,0.021534320323014805,0.002018842530282638,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.24342754598474653,0.09544638851502917,0.019440705847166142,0.002018842530282638,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.2443248093315388,0.09892328398384927,0.020487513085090475,0.0029161058770749214,0.0
pct_interview_given_nosignal,0.4591424726014228,0.36899955136832663,0.24360699865410498,0.10038133692238672,0.013758037984148347,0.001794526693584567,0.0
