Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06752136752136752,0.04527472527472527,0.030316742081447964,0.020512820512820513,0.011778846153846154,0.004714640198511167,0.0017948717948717949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06688034188034188,0.04725274725274725,0.03190045248868778,0.024475524475524476,0.010096153846153847,0.005459057071960298,0.0005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06709401709401709,0.047692307692307694,0.033710407239819,0.02097902097902098,0.018028846153846152,0.00620347394540943,0.002307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06816239316239316,0.04813186813186813,0.032805429864253395,0.022377622377622378,0.009615384615384616,0.0032258064516129032,0.0002564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06666666666666667,0.045714285714285714,0.03755656108597285,0.02400932400932401,0.013461538461538462,0.005210918114143921,0.0005128205128205128,0.001326259946949602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06816239316239316,0.046153846153846156,0.031221719457013575,0.02470862470862471,0.014663461538461538,0.004714640198511167,0.0,0.0007957559681697613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.0673076923076923,0.046813186813186816,0.0334841628959276,0.021445221445221447,0.009375,0.005955334987593052,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06837606837606838,0.05076923076923077,0.0330316742081448,0.022144522144522144,0.01201923076923077,0.008684863523573201,0.0020512820512820513,0.0002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06880341880341881,0.047692307692307694,0.033936651583710405,0.02470862470862471,0.013701923076923077,0.004714640198511167,0.0028205128205128207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.13846153846153847,0.11578947368421053,0.0918918918918919,0.06816239316239316,0.047472527472527476,0.033936651583710405,0.026806526806526808,0.009375,0.0032258064516129032,0.0035897435897435897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_interview_given_application,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
pct_of_app_match_via_signal_given_matched,0.0,0.9629629629629629,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
