signal,n_sims,match_rate_mean,match_rate_ci_low,match_rate_ci_high,fill_rate_mean,fill_rate_ci_low,fill_rate_ci_high,applicant_pref_rank_mean,applicant_pref_rank_ci_low,applicant_pref_rank_ci_high,program_pref_rank_mean,program_pref_rank_ci_low,program_pref_rank_ci_high,matched_app_quality_mean,matched_app_quality_ci_low,matched_app_quality_ci_high,matched_prog_quality_mean,matched_prog_quality_ci_low,matched_prog_quality_ci_high
0,50,0.4634965034965034,0.46103643430115415,0.46595657269185264,0.6797948717948717,0.6761867703083595,0.683402973281384,0.29018794267658143,0.2861671779962983,0.29420870735686455,0.34044953653944854,0.3380537062610528,0.3428453668178443,0.31126544350948754,0.3095699206567881,0.31296096636218695,0.5723971554938521,0.570333155623717,0.5744611553639871
1,50,0.6620979020979021,0.6594591913213993,0.6647366128744049,0.9710769230769232,0.9672068139380523,0.974947032215794,0.05100873267373764,0.04762431852331139,0.05439314682416389,0.06647031152178713,0.06365872075960394,0.06928190228397033,0.4560973008346405,0.4538256090192492,0.45836899265003184,0.5046583328187011,0.5026524981427429,0.5066641674946593
2,50,0.6751748251748252,0.6736165336140624,0.676733116735588,0.9902564102564102,0.9879709159672914,0.992541904545529,0.1717351720536861,0.16612030913924458,0.17735003496812762,0.07344982307236636,0.07171067050034974,0.07518897564438298,0.46746207498510484,0.465355442635949,0.46956870733426065,0.5031415588570326,0.5009188014869573,0.5053643162271079
3,50,0.6787412587412588,0.6778745101448327,0.6796080073376849,0.9954871794871795,0.9942159482124212,0.9967584107619377,0.22730138084384702,0.22288630504630128,0.23171645664139276,0.10805760133341319,0.10684100367955486,0.10927419898727152,0.4668718167073366,0.4648760149413101,0.46886761847336306,0.5001123306011332,0.4981235400001259,0.5021011212021406
4,50,0.6817482517482517,0.6816077220113895,0.6818887814851139,0.999897435897436,0.9996913256167047,1.000103546178167,0.42139899374705897,0.4176061275051978,0.4251918599889201,0.08539718682632173,0.08437929386842226,0.08641507978422121,0.364506823230426,0.3631077083588474,0.36590593810200456,0.5000187922043592,0.4978786295142319,0.5021589548944865
5,50,0.6818181818181818,0.6818181818181818,0.6818181818181818,1.0,1.0,1.0,0.5012485834127781,0.4975034710789012,0.504993695746655,0.10065997770345594,0.09915941465823988,0.10216054074867201,0.3617489878542511,0.3605876144561459,0.36291036125235626,0.4982524142524143,0.49614686885806447,0.5003579596467641
6,50,0.6818181818181818,0.6818181818181818,0.6818181818181818,1.0,1.0,1.0,0.5718319569968804,0.5677067518403965,0.5759571621533642,0.11510660933269629,0.1134465080289847,0.11676671063640787,0.3637955915429599,0.36241747898793736,0.3651737040979824,0.5007738927738927,0.498753283622198,0.5027945019255875
7,50,0.6818181818181818,0.6818181818181818,0.6818181818181818,1.0,1.0,1.0,0.6256503531390921,0.6209292775615852,0.630371428716599,0.12929740404523013,0.12743163132149762,0.13116317676896264,0.3638441745389113,0.36251449314078626,0.3651738559370364,0.5017116217116216,0.4998131296735681,0.5036101137496751
8,50,0.6818181818181818,0.6818181818181818,0.6818181818181818,1.0,1.0,1.0,0.6262491648912121,0.623341866430429,0.6291564633519952,0.18137321229495143,0.17944133295745118,0.18330509163245168,0.35073180386864605,0.35000374702322407,0.35145986071406804,0.501036297036297,0.49918913128366044,0.5028834627889337
9,50,0.6816083916083915,0.681296733296239,0.681920049920544,0.9996923076923077,0.9992352088344839,1.0001494065501315,0.6587715986333761,0.6558060431667637,0.6617371540999885,0.19528545502226863,0.19340599940984773,0.19716491063468952,0.35072413415520365,0.349902330003899,0.3515459383065083,0.5005145138144443,0.498921985144777,0.5021070424841118
