n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,applicants_per_position,minimum_unmatched,spots_per_program,simulations_per_s,study_min_signal,study_max_signal,result_file_prefix,best_signal_rpp,reviews_per_program_best_rpp,unmatched_applicants_best_rpp,unfilled_spots_best_rpp,pct_interview_given_signal_best_rpp,pct_interview_given_nosignal_best_rpp,pct_interview_given_application_best_rpp,pct_of_app_match_via_signal_given_matched_best_rpp,best_signal_ua,reviews_per_program_best_ua,unmatched_applicants_best_ua,unfilled_spots_best_ua,pct_interview_given_signal_best_ua,pct_interview_given_nosignal_best_ua,pct_interview_given_application_best_ua,pct_of_app_match_via_signal_given_matched_best_ua,best_signal_ufs,reviews_per_program_best_ufs,unmatched_applicants_best_ufs,unfilled_spots_best_ufs,pct_interview_given_signal_best_ufs,pct_interview_given_nosignal_best_ufs,pct_interview_given_application_best_ufs,pct_of_app_match_via_signal_given_matched_best_ufs,best_signal_pigs,reviews_per_program_best_pigs,unmatched_applicants_best_pigs,unfilled_spots_best_pigs,pct_interview_given_signal_best_pigs,pct_interview_given_nosignal_best_pigs,pct_interview_given_application_best_pigs,pct_of_app_match_via_signal_given_matched_best_pigs,best_signal_pigns,reviews_per_program_best_pigns,unmatched_applicants_best_pigns,unfilled_spots_best_pigns,pct_interview_given_signal_best_pigns,pct_interview_given_nosignal_best_pigns,pct_interview_given_application_best_pigns,pct_of_app_match_via_signal_given_matched_best_pigns,best_signal_piga,reviews_per_program_best_piga,unmatched_applicants_best_piga,unfilled_spots_best_piga,pct_interview_given_signal_best_piga,pct_interview_given_nosignal_best_piga,pct_interview_given_application_best_piga,pct_of_app_match_via_signal_given_matched_best_piga,best_signal_pamgs,reviews_per_program_best_pamgs,unmatched_applicants_best_pamgs,unfilled_spots_best_pamgs,pct_interview_given_signal_best_pamgs,pct_interview_given_nosignal_best_pamgs,pct_interview_given_application_best_pamgs,pct_of_app_match_via_signal_given_matched_best_pamgs
172,7954,14514,15,36,1.824742268041237,6560,46,20,0,35,heatmap_np172_npos7954_napp14514_ips15_max_app36,9,770.123546511628,6560.0,0.0,0.9133258309984228,1.505570611261668e-05,0.2283427495291902,1.0,1,3037.8139534883726,6560.0,0.0,1.0,0.2062953995157385,0.2283427495291902,1.0,1,3037.8139534883726,6560.0,0.0,1.0,0.2062953995157385,0.2283427495291902,1.0,1,3037.8139534883726,6560.0,0.0,1.0,0.2062953995157385,0.2283427495291902,1.0,0,3037.8139534883726,7414.7,854.7,0.0,0.2283427495291902,0.2283427495291902,0.0,0,3037.8139534883726,7414.7,854.7,0.0,0.2283427495291902,0.2283427495291902,0.0,1,3037.8139534883726,6560.0,0.0,1.0,0.2062953995157385,0.2283427495291902,1.0
615,5229,8667,10,5,1.657487091222031,3438,8,20,0,4,heatmap_np615_npos5229_napp8667_ips10_max_app5,4,70.45666666666668,3438.0,0.0,0.999975481712242,0.978498903888312,0.995680166147456,1.0,0,70.46341463414635,3438.0,0.0,0.0,0.9959155417099342,0.9959155417099342,0.0,0,70.46341463414635,3438.0,0.0,0.0,0.9959155417099342,0.9959155417099342,0.0,1,70.46341463414635,3438.0,0.0,1.0,0.9949203876773972,0.9959363101419176,0.9906483075157771,0,70.46341463414635,3438.0,0.0,0.0,0.9959155417099342,0.9959155417099342,0.0,1,70.46341463414635,3438.0,0.0,1.0,0.9949203876773972,0.9959363101419176,0.9906483075157771,4,70.45666666666668,3438.0,0.0,0.999975481712242,0.978498903888312,0.995680166147456,1.0
535,11100,10042,20,21,0.9046846846846848,0,20,20,0,20,heatmap_np535_npos11100_napp10042_ips20_max_app21,20,393.5672897196262,0.0,1058.0,0.999291973710416,0.9163363871738698,0.9953417076848664,1.0,0,394.1719626168224,0.0,1058.0,0.0,0.9953962405515884,0.9953962405515884,0.0,0,394.1719626168224,0.0,1058.0,0.0,0.9953962405515884,0.9953962405515884,0.0,1,394.1719626168224,0.0,1058.0,1.0,0.9948882194781916,0.9951316375982776,0.948859788886676,0,394.1719626168224,0.0,1058.0,0.0,0.9953962405515884,0.9953962405515884,0.0,18,394.1719626168224,0.0,1058.0,1.0,0.9683097656509329,0.995472823664419,1.0,16,394.1719626168224,0.0,1058.0,1.0,0.9799641505676162,0.995229559658956,1.0
290,1988,4230,5,53,2.1277665995975856,2242,6,20,0,40,heatmap_np290_npos1988_napp4230_ips5_max_app53,4,58.59396551724139,2242.0,0.0,0.5874645390070921,4.824624885415159e-07,0.0443373923903831,1.0,2,624.8455172413792,2242.0,0.0,0.9798758865248228,0.0076496083066796,0.0443373923903831,1.0,2,624.8455172413792,2242.0,0.0,0.9798758865248228,0.0076496083066796,0.0443373923903831,1.0,1,772.9317241379309,2245.9,3.9,0.9999881796690306,0.0259594926350245,0.0443373923903831,0.9999495458618444,0,773.0689655172413,3516.9,1274.9,0.0,0.0443373923903831,0.0443373923903831,0.0,0,773.0689655172413,3516.9,1274.9,0.0,0.0443373923903831,0.0443373923903831,0.0,2,624.8455172413792,2242.0,0.0,0.9798758865248228,0.0076496083066796,0.0443373923903831,1.0
356,9054,4951,7,60,0.5468301303291363,0,25,20,0,40,heatmap_np356_npos9054_napp4951_ips7_max_app60,15,217.36488764044944,82.45,4185.45,0.8530673937924999,0.0001119863551695,0.2133508382145021,1.0,4,834.4382022471912,0.0,4103.0,1.0,0.1571616123726808,0.2133508382145021,1.0,4,834.4382022471912,0.0,4103.0,1.0,0.1571616123726808,0.2133508382145021,1.0,1,834.4382022471912,0.9,4103.9,1.0,0.2000178015740699,0.2133508382145021,0.9998888929659828,0,834.4382022471912,1444.35,5547.35,0.0,0.2133508382145021,0.2133508382145021,0.0,0,834.4382022471912,1444.35,5547.35,0.0,0.2133508382145021,0.2133508382145021,0.0,4,834.4382022471912,0.0,4103.0,1.0,0.1571616123726808,0.2133508382145021,1.0
748,6206,501,12,13,0.0807283274250725,0,8,20,0,12,heatmap_np748_npos6206_napp501_ips12_max_app13,0,8.7072192513369,0.0,5705.0,0.0,1.0,1.0,0.0,0,8.7072192513369,0.0,5705.0,0.0,1.0,1.0,0.0,0,8.7072192513369,0.0,5705.0,0.0,1.0,1.0,0.0,1,8.7072192513369,0.0,5705.0,1.0,1.0,1.0,1.0,0,8.7072192513369,0.0,5705.0,0.0,1.0,1.0,0.0,0,8.7072192513369,0.0,5705.0,0.0,1.0,1.0,0.0,1,8.7072192513369,0.0,5705.0,1.0,1.0,1.0,1.0
104,3136,12634,13,44,4.028698979591836,9498,30,20,0,40,heatmap_np104_npos3136_napp12634_ips13_max_app44,4,485.9230769230768,9498.0,0.0,0.8067120468576855,0.0,0.0733374588052441,1.0,1,5345.153846153846,9498.0,0.0,1.0,0.0517871671495521,0.0733374588052441,1.0,1,5345.153846153846,9498.0,0.0,1.0,0.0517871671495521,0.0733374588052441,1.0,1,5345.153846153846,9498.0,0.0,1.0,0.0517871671495521,0.0733374588052441,1.0,0,5345.153846153846,10469.7,971.7,0.0,0.0733374588052441,0.0733374588052441,0.0,0,5345.153846153846,10469.7,971.7,0.0,0.0733374588052441,0.0733374588052441,0.0,1,5345.153846153846,9498.0,0.0,1.0,0.0517871671495521,0.0733374588052441,1.0
30,11976,1219,17,8,0.1017869071476285,0,399,20,0,7,heatmap_np30_npos11976_napp1219_ips17_max_app8,0,325.06666666666666,0.0,10757.0,0.0,1.0,1.0,0.0,0,325.06666666666666,0.0,10757.0,0.0,1.0,1.0,0.0,0,325.06666666666666,0.0,10757.0,0.0,1.0,1.0,0.0,1,325.06666666666666,0.0,10757.0,1.0,1.0,1.0,1.0,0,325.06666666666666,0.0,10757.0,0.0,1.0,1.0,0.0,0,325.06666666666666,0.0,10757.0,0.0,1.0,1.0,0.0,1,325.06666666666666,0.0,10757.0,1.0,1.0,1.0,1.0
770,2705,11561,8,34,4.273937153419594,8856,3,20,0,33,heatmap_np770_npos2705_napp11561_ips8_max_app34,3,48.768961038961024,8856.0,0.0,0.6234322290459303,4.882935118348396e-05,0.0550532469713082,1.0,1,505.7244805194805,8856.0,0.0,0.9992042210881412,0.0264426113920102,0.0550532469713082,1.0,1,505.7244805194805,8856.0,0.0,0.9992042210881412,0.0264426113920102,0.0550532469713082,1.0,1,505.7244805194805,8856.0,0.0,0.9992042210881412,0.0264426113920102,0.0550532469713082,1.0,0,510.4857142857143,9526.7,670.7,0.0,0.0550532469713082,0.0550532469713082,0.0,0,510.4857142857143,9526.7,670.7,0.0,0.0550532469713082,0.0550532469713082,0.0,1,505.7244805194805,8856.0,0.0,0.9992042210881412,0.0264426113920102,0.0550532469713082,1.0
480,8730,5778,14,49,0.6618556701030928,0,18,20,0,40,heatmap_np480_npos8730_napp5778_ips14_max_app49,24,295.4002083333333,52.2,3004.2,0.8808292229145034,0.0005098650051921,0.4316866933689363,1.0,4,589.8374999999999,0.0,2952.0,1.0,0.3811699550017307,0.4316866933689363,1.0,4,589.8374999999999,0.0,2952.0,1.0,0.3811699550017307,0.4316866933689363,1.0,1,589.8374999999999,8.9,2960.9,1.0,0.4198468328141225,0.4316866933689363,0.9949561782273058,0,589.8374999999999,1000.25,3952.25,0.0,0.4316866933689363,0.4316866933689363,0.0,0,589.8374999999999,1000.25,3952.25,0.0,0.4316866933689363,0.4316866933689363,0.0,4,589.8374999999999,0.0,2952.0,1.0,0.3811699550017307,0.4316866933689363,1.0
