,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.5725740455846374,0.40594524219547656,0.02148071221988625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.5814456197051419,0.39191584932953527,0.02663853096532297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.3624059313712963,0.3739124081893548,0.2382980054950846,0.025050321610931237,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0
prog_cut_4,0.16946249211004516,0.36317277608464366,0.4201287447842668,0.047235987021044146,0.0,0.0,0.0,0.0,0.0,0.0
prog_cut_5,0.17248683249544322,0.32553335196356914,0.42215282965244966,0.0721429125526297,0.007684073335908179,0.0,0.0,0.0,0.0,0.0
prog_cut_6,0.0,0.0,0.25295606678435933,0.6207987212016748,0.124237743177656,0.002007468836310181,0.0,0.0,0.0,0.0
prog_cut_7,0.0,0.0,0.2553496071493928,0.6214550137477819,0.121832105024593,0.0013632740782326509,0.0,0.0,0.0,0.0
prog_cut_8,0.0,0.0,0.1119279386391287,0.28761797807725065,0.06666082744550118,0.3766581195732255,0.15328652224596473,0.0038486140189293977,0.0,0.0
prog_cut_9,0.0,0.0,0.0,0.0,0.003382222666988159,0.7196891048701637,0.2708469270992833,0.006081745363564943,0.0,0.0
prog_cut_10,0.0,0.0,0.0,0.0,0.0032050196932597898,0.7267824345726805,0.2616056322447382,0.008406913489321575,0.0,0.0
