n_programs,simulated_positions,n_applicants,interviews_per_spot,max_applications,result_file_prefix,signal_value,reviews
615,4305,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,2,70.46341463414635
615,4305,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,3,70.46341463414635
615,4305,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,4,69.88333333333333
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,0,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,1,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,2,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,3,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,4,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,5,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,6,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,7,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,8,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,9,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,10,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,11,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,12,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,13,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,14,394.1719626168224
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,15,394.16168224299065
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,16,393.2868224299065
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,17,385.1918691588785
535,9095,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,18,368.5067289719626
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,0,773.0689655172413
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,1,767.8939655172414
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,2,173.20068965517243
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,3,44.00913793103447
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,4,58.344827586206904
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,5,72.93103448275862
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,6,87.51724137931032
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,7,102.10344827586206
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,8,116.68965517241381
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,9,131.27586206896552
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,10,145.86206896551724
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,11,160.44827586206893
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,12,175.03448275862064
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,13,189.62068965517244
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,14,204.20689655172413
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,15,218.7931034482759
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,16,233.37931034482762
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,17,247.96551724137936
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,18,262.55172413793105
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,19,277.13793103448273
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,20,291.7241379310345
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,21,306.31034482758616
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,22,320.89655172413785
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,23,335.4827586206896
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,24,350.0689655172413
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,25,364.65517241379314
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,26,379.2413793103449
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,27,393.8275862068966
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,28,408.41379310344826
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,29,423.0
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,30,437.58620689655174
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,31,452.1724137931034
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,32,466.75862068965523
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,33,481.34482758620686
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,34,495.9310344827587
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,35,510.51724137931035
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,36,525.1034482758621
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,37,539.6896551724137
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,38,554.2758620689655
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,39,568.8620689655174
290,1450,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,40,583.448275862069
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,0,834.4382022471912
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,1,834.4382022471912
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,2,834.4382022471912
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,3,834.4382022471912
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,4,834.4382022471912
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,5,834.4382022471912
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,6,834.4382022471912
356,7476,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,7,834.4382022471912
