n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,result_file_prefix,signal_value,reviews
172,6629,14514,15,36,heatmap_np172_npos6629_napp14514_ips15_max_app36,28,2362.7441860465115
172,6629,14514,15,36,heatmap_np172_npos6629_napp14514_ips15_max_app36,29,2447.127906976745
172,6629,14514,15,36,heatmap_np172_npos6629_napp14514_ips15_max_app36,30,2531.5116279069766
172,6629,14514,15,36,heatmap_np172_npos6629_napp14514_ips15_max_app36,31,2615.8953488372085
172,6629,14514,15,36,heatmap_np172_npos6629_napp14514_ips15_max_app36,32,2700.279069767442
172,6629,14514,15,36,heatmap_np172_npos6629_napp14514_ips15_max_app36,33,2784.662790697674
615,4358,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,0,70.46341463414635
615,4358,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,1,70.46341463414635
615,4358,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,2,70.46341463414635
615,4358,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,3,70.46341463414635
615,4358,8667,10,5,heatmap_np615_npos4358_napp8667_ips10_max_app5,4,69.91528455284553
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,0,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,1,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,2,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,3,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,4,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,5,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,6,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,7,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,8,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,9,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,10,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,11,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,12,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,13,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,14,394.1719626168224
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,15,394.1515887850467
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,16,393.4348598130842
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,17,387.3211214953272
535,9251,10042,20,21,heatmap_np535_npos9251_napp10042_ips20_max_app21,18,374.1460747663551
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,0,773.0689655172413
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,1,771.0006896551724
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,2,355.11568965517245
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,3,50.200172413793105
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,4,58.344827586206904
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,5,72.93103448275862
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,6,87.51724137931032
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,7,102.10344827586206
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,8,116.68965517241381
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,9,131.27586206896552
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,10,145.86206896551724
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,11,160.44827586206893
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,12,175.03448275862064
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,13,189.62068965517244
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,14,204.20689655172413
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,15,218.7931034482759
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,16,233.37931034482762
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,17,247.96551724137936
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,18,262.55172413793105
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,19,277.13793103448273
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,20,291.7241379310345
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,21,306.31034482758616
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,22,320.89655172413785
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,23,335.4827586206896
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,24,350.0689655172413
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,25,364.65517241379314
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,26,379.2413793103449
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,27,393.8275862068966
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,28,408.41379310344826
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,29,423.0
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,30,437.58620689655174
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,31,452.1724137931034
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,32,466.75862068965523
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,33,481.34482758620686
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,34,495.9310344827587
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,35,510.51724137931035
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,36,525.1034482758621
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,37,539.6896551724137
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,38,554.2758620689655
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,39,568.8620689655174
290,1658,4230,5,53,heatmap_np290_npos1658_napp4230_ips5_max_app53,40,583.448275862069
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,0,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,1,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,2,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,3,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,4,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,5,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,6,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,7,834.4382022471912
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,8,834.028370786517
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,9,818.0622191011237
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,10,680.6495786516855
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,11,384.28679775280904
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,12,210.08525280898874
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,13,184.63412921348313
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,14,194.97499999999997
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,15,208.6095505617978
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,16,222.51685393258427
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,17,236.4241573033708
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,18,250.33146067415723
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,19,264.2387640449439
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,20,278.14606741573044
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,21,292.0533707865169
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,22,305.96067415730334
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,23,319.8679775280899
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,24,333.77528089887636
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,25,347.68258426966287
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,26,361.58988764044955
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,27,375.49719101123605
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,28,389.40449438202256
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,29,403.311797752809
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,30,417.2191011235956
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,31,431.126404494382
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,32,445.0337078651684
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,33,458.941011235955
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,34,472.8483146067416
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,35,486.755617977528
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,36,500.66292134831446
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,37,514.5702247191009
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,38,528.4775280898878
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,39,542.3848314606743
356,7546,4951,7,60,heatmap_np356_npos7546_napp4951_ips7_max_app60,40,556.2921348314608
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,0,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,1,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,2,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,3,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,4,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,5,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,6,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,7,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,8,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,9,8.7072192513369
748,5173,501,12,13,heatmap_np748_npos5173_napp501_ips12_max_app13,10,8.7072192513369
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,0,5345.153846153846
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,1,5345.153846153846
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,2,5345.153846153846
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,3,436.8995192307692
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,4,485.9230769230768
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,5,607.4038461538461
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,6,728.8846153846154
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,7,850.3653846153845
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,8,971.8461538461536
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,9,1093.3269230769229
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,10,1214.8076923076922
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,11,1336.2884615384614
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,12,1457.7692307692307
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,13,1579.25
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,14,1700.730769230769
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,15,1822.2115384615383
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,16,1943.6923076923074
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,17,2065.173076923077
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,18,2186.6538461538457
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,19,2308.1346153846157
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,20,2429.6153846153843
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,21,2551.0961538461543
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,22,2672.576923076923
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,23,2794.057692307693
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,24,2915.538461538461
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,25,3037.0192307692314
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,26,3158.5
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,27,3279.9807692307686
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,28,3401.461538461538
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,29,3522.9423076923076
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,30,3644.423076923077
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,31,3765.903846153846
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,32,3887.3846153846143
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,33,4008.8653846153857
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,34,4130.346153846154
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,35,4251.826923076923
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,36,4373.3076923076915
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,37,4494.788461538463
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,38,4616.269230769232
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,39,4737.75
104,2614,12634,13,44,heatmap_np104_npos2614_napp12634_ips13_max_app44,40,4859.230769230769
30,9980,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,0,325.06666666666666
30,9980,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,1,325.06666666666666
30,9980,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,2,325.06666666666666
30,9980,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,3,325.06666666666666
30,9980,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,4,325.06666666666666
30,9980,1219,17,8,heatmap_np30_npos9980_napp1219_ips17_max_app8,5,325.06666666666666
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,0,510.4857142857143
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,1,486.6382467532468
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,2,80.84655844155844
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,3,45.103636363636355
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,4,60.057142857142864
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,5,75.07142857142858
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,6,90.08571428571426
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,7,105.09999999999998
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,8,120.11428571428573
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,9,135.12857142857143
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,10,150.14285714285717
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,11,165.15714285714284
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,12,180.17142857142852
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,13,195.18571428571428
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,14,210.19999999999996
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,15,225.2142857142857
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,16,240.22857142857146
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,17,255.24285714285716
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,18,270.25714285714287
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,19,285.2714285714285
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,20,300.28571428571433
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,21,315.30000000000007
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,22,330.3142857142857
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,23,345.32857142857137
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,24,360.34285714285727
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,25,375.35714285714283
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,26,390.37142857142857
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,27,405.38571428571424
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,28,420.3999999999999
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,29,435.4142857142857
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,30,450.4285714285714
770,2256,11561,8,34,heatmap_np770_npos2256_napp11561_ips8_max_app34,31,465.44285714285724
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,0,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,1,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,2,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,3,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,4,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,5,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,6,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,7,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,8,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,9,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,10,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,11,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,12,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,13,589.8374999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,14,589.5371874999998
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,15,585.3332291666667
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,16,555.9582291666667
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,17,467.5590625
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,18,355.4920833333333
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,19,275.2523958333333
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,20,252.060625
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,21,254.5609375
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,22,265.03947916666664
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,23,276.86250000000007
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,24,288.8999999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,25,300.9375
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,26,312.9750000000001
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,27,325.01249999999993
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,28,337.05000000000007
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,29,349.0874999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,30,361.125
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,31,373.1625000000001
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,32,385.19999999999993
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,33,397.23750000000007
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,34,409.2749999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,35,421.3125
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,36,433.3500000000001
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,37,445.3875
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,38,457.4249999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,39,469.4624999999999
480,7275,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,40,481.5
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,0,1207.6576576576579
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,1,1207.6576576576579
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,2,1207.6576576576579
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,3,1084.0696696696698
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,4,205.26876876876878
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,5,241.5315315315316
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,6,289.83783783783775
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,7,338.14414414414404
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,8,386.4504504504504
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,9,434.7567567567568
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,10,483.0630630630632
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,11,531.3693693693693
333,4882,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,12,579.6756756756755
