,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.29781214093312947,0.30154086101069744,0.18944102779352046,0.11214832904758755,0.09905764121506513,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.27648248058424074,0.2986536279624108,0.20424752248364675,0.11230971632376413,0.10830665264593733,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.16375818427256403,0.166611697415931,0.17078765113960132,0.17067729002225154,0.15875961602727634,0.06576499156426074,0.07021298690697879,0.03342758265113611,0.0,0.0
prog_cut_4,0.07878676315303054,0.08044809699725564,0.13605637385427977,0.19745040094120772,0.1999941378272202,0.1264087332785484,0.12167813616250714,0.059177357785950555,0.0,0.0
prog_cut_5,0.07564208292070469,0.0763151844343737,0.13277619189517442,0.17691293313377698,0.18469090499013877,0.14005078357024492,0.1265270934605654,0.07072031593152742,0.007850612354571187,0.00851389730892239
prog_cut_6,0.0,0.0,0.03631939056112009,0.07716384756868791,0.07557933486758682,0.19809618111070468,0.19510295260299615,0.15883372990981584,0.12428518403598622,0.13461937934310217
prog_cut_7,0.0,0.0,0.037751529446373555,0.08242589451376274,0.0739432912009297,0.1897349994648535,0.2008182295687582,0.16148703810871393,0.12196289019548939,0.13187612750111882
prog_cut_8,0.0,0.0,0.018312854862846503,0.038415771921488415,0.034182897418903,0.12593388143522952,0.12612299099573135,0.18702714777920215,0.24363595037869787,0.2263685052079013
prog_cut_9,0.0,0.0,0.0,0.0,0.0,0.08722073743491433,0.08568128221576106,0.1897970913124429,0.3157203747763576,0.3215805142605241
prog_cut_10,0.0,0.0,0.0,0.0,0.0,0.10463080942235554,0.09429553369174858,0.207028536943783,0.2966632412234125,0.2973818787187005
