Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,159.18983050847459,137.91186440677967,98.09830508474576,71.36949152542373,67.40338983050847,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,157.8372881355932,140.09152542372883,96.86440677966101,69.7593220338983,67.51864406779661,72.91525423728814,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
reviews_per_program,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,160.4135593220339,158.24067796610169,139.11186440677966,97.20338983050847,70.6135593220339,66.5864406779661,73.62372881355932,80.20677966101695,87.49830508474577,94.78983050847458,102.0813559322034,109.37288135593221,116.66440677966102,123.95593220338984,131.24745762711865,138.53898305084746
pct_interview_given_signal,0.0,1.0306834030683403,1.01906090190609,1.0116225011622502,1.01022780102278,1.004556020455602,0.9901596156826282,0.9350468220761108,0.8501278475127848,0.7616612428327909,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0181311018131103,1.016039051603905,1.0114675344800867,1.0110413761041377,1.002603440260344,0.9865953819928716,0.9337185362289965,0.8497791724779172,0.7608864094219743,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0195258019525801,1.0167364016736402,1.0116225011622502,1.0106927010692701,1.00418410041841,0.9907019990702,0.9278740785016936,0.8498372849837285,0.7609380649826953,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0269642026964203,1.01441190144119,1.0133271346660468,1.0073221757322175,1.005299860529986,0.9886099488609948,0.9338513648137079,0.8481520223152023,0.7610930316648588,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0167364016736402,1.0172013017201302,1.0114675344800867,1.0095304509530452,1.005671780567178,0.9887649155431583,0.9333200504748622,0.8489074848907485,0.7616612428327909,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0227801022780103,1.0153417015341701,1.0106927010692701,1.0080195258019526,1.005206880520688,0.9873702154036882,0.9341834362754865,0.8486750348675035,0.7615579317113488,0.6855416085541609,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0199907019990702,1.0139470013947,1.0127072679373934,1.0095304509530452,1.0062296606229661,0.9850457151712382,0.9358437935843794,0.8479776847977685,0.7608864094219743,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0218503021850303,1.0169688516968851,1.0123973345730668,1.0091817759181776,1.007159460715946,0.9887649155431583,0.9345155077372651,0.8496048349604834,0.7611446872255798,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0176662017666203,1.0197582519758253,1.0139470013947,1.0092980009298,1.003998140399814,0.9869053153571982,0.932191007504815,0.8503602975360297,0.7608347538612532,0.6857275685727569,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_signal,0.0,1.0255695025569502,1.0195258019525801,1.0125523012552302,1.0073221757322175,1.00371920037192,0.9868278320161166,0.9342498505678422,0.848791259879126,0.7616095872720698,0.6856345885634588,0.6233886987025062,0.5714396404772973,0.5274827450559668,0.48980540612339774,0.4571517123818379,0.42857973035797303,0.4033691579839746,0.3809597603181983,0.36090924661724044
pct_interview_given_nosignal,0.3116943493512531,0.27745677536472513,0.24095769409576942,0.20117937801267463,0.15646469342424713,0.10791150490879756,0.05726987447698745,0.020796528746319543,0.004018064687520755,0.00017880771018846333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3116943493512531,0.27805450399592657,0.24125987912598792,0.20120384643617412,0.15628389896172323,0.10848579320152049,0.05860646211064621,0.021416395474972882,0.004217307564587899,0.0007152308407538533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3116943493512531,0.27798808970357086,0.2411901441190144,0.20117937801267463,0.15636138230280489,0.1080208931550305,0.05706648070664807,0.024143809081047574,0.0041841004184100415,0.0006794692987161607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3116943493512531,0.2776338801443404,0.24142259414225942,0.20091022535418043,0.15711038793326101,0.10769272841633167,0.05785099953509995,0.021354408802107545,0.005147107657567909,0.0005721846726030826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.3116943493512531,0.2781209182882823,0.24114365411436542,0.20120384643617412,0.15661966010641046,0.10758334017009873,0.057792887029288705,0.021602355493568884,0.004715414757255762,0.00017880771018846333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
