Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
unmatched_applicants,513.0,204.0,204.0,205.0,204.0,205.0,208.0,227.0,245.0,278.0,288.0,311.0,324.0,352.0,370.0,382.0,395.0,397.0,404.0,417.0,428.0,436.0,442.0,452.0,451.0,458.0,467.0,470.0,470.0,473.0,486.0,481.0,490.0,496.0,499.0,503.0,506.0,507.0
unmatched_applicants,509.0,204.0,207.0,204.0,204.0,204.0,209.0,221.0,230.0,280.0,287.0,321.0,332.0,348.0,366.0,376.0,394.0,394.0,416.0,417.0,426.0,429.0,440.0,449.0,455.0,462.0,466.0,466.0,476.0,482.0,480.0,489.0,494.0,497.0,494.0,500.0,501.0,499.0
unmatched_applicants,512.0,204.0,204.0,204.0,204.0,204.0,210.0,228.0,250.0,277.0,300.0,316.0,335.0,346.0,367.0,368.0,391.0,397.0,407.0,420.0,423.0,431.0,444.0,443.0,456.0,463.0,466.0,470.0,476.0,482.0,484.0,490.0,488.0,492.0,495.0,497.0,504.0,500.0
unmatched_applicants,510.0,205.0,204.0,204.0,204.0,204.0,209.0,216.0,245.0,263.0,301.0,322.0,333.0,354.0,368.0,366.0,388.0,407.0,410.0,415.0,427.0,434.0,446.0,451.0,452.0,459.0,465.0,468.0,472.0,479.0,481.0,485.0,487.0,494.0,498.0,495.0,498.0,506.0
unmatched_applicants,513.0,205.0,204.0,205.0,204.0,207.0,208.0,235.0,256.0,271.0,298.0,317.0,343.0,353.0,369.0,371.0,391.0,403.0,401.0,416.0,425.0,432.0,450.0,453.0,454.0,460.0,466.0,462.0,475.0,481.0,476.0,488.0,483.0,493.0,498.0,502.0,504.0,501.0
unmatched_applicants,512.0,204.0,205.0,204.0,206.0,207.0,208.0,227.0,253.0,282.0,284.0,313.0,331.0,348.0,364.0,370.0,395.0,410.0,409.0,411.0,433.0,439.0,448.0,449.0,454.0,457.0,466.0,472.0,469.0,479.0,486.0,492.0,491.0,488.0,499.0,501.0,501.0,505.0
unmatched_applicants,511.0,205.0,204.0,204.0,204.0,206.0,214.0,229.0,249.0,266.0,283.0,315.0,328.0,352.0,366.0,383.0,391.0,392.0,410.0,425.0,434.0,441.0,443.0,455.0,456.0,465.0,464.0,468.0,477.0,481.0,478.0,491.0,488.0,491.0,498.0,500.0,505.0,503.0
unmatched_applicants,514.0,204.0,204.0,204.0,204.0,204.0,210.0,223.0,240.0,275.0,306.0,316.0,343.0,348.0,361.0,381.0,390.0,392.0,407.0,413.0,426.0,437.0,438.0,450.0,448.0,466.0,468.0,467.0,476.0,476.0,483.0,487.0,492.0,493.0,500.0,501.0,505.0,507.0
unmatched_applicants,506.0,204.0,206.0,204.0,204.0,204.0,208.0,225.0,248.0,275.0,287.0,307.0,318.0,345.0,366.0,376.0,386.0,399.0,410.0,422.0,426.0,430.0,443.0,457.0,463.0,460.0,465.0,475.0,474.0,477.0,484.0,491.0,489.0,500.0,496.0,501.0,499.0,505.0
unmatched_applicants,511.0,204.0,207.0,204.0,204.0,204.0,208.0,228.0,257.0,274.0,300.0,309.0,338.0,354.0,364.0,383.0,384.0,408.0,418.0,416.0,430.0,437.0,441.0,448.0,460.0,460.0,465.0,467.0,478.0,480.0,487.0,490.0,487.0,492.0,496.0,499.0,501.0,502.0
