Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,350.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,235.0,234.0,236.0,239.0,250.0,254.0,263.0,263.0,273.0,281.0,292.0,292.0,309.0,313.0,317.0,321.0,328.0,331.0,337.0,342.0
unmatched_applicants,354.0,234.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,237.0,239.0,238.0,254.0,253.0,264.0,267.0,278.0,280.0,291.0,300.0,302.0,311.0,317.0,325.0,333.0,333.0,339.0,338.0
unmatched_applicants,354.0,238.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,236.0,243.0,242.0,251.0,258.0,267.0,276.0,287.0,290.0,294.0,302.0,307.0,312.0,322.0,331.0,331.0,338.0,343.0
unmatched_applicants,354.0,235.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,239.0,238.0,242.0,245.0,254.0,262.0,273.0,277.0,287.0,289.0,302.0,305.0,316.0,318.0,325.0,326.0,330.0,338.0,345.0
unmatched_applicants,358.0,234.0,234.0,235.0,234.0,234.0,234.0,234.0,234.0,238.0,237.0,238.0,250.0,257.0,262.0,268.0,272.0,281.0,293.0,302.0,304.0,313.0,318.0,320.0,329.0,334.0,336.0,348.0
unmatched_applicants,354.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,238.0,244.0,248.0,257.0,258.0,268.0,281.0,285.0,295.0,301.0,304.0,313.0,317.0,324.0,322.0,341.0,336.0,338.0
unmatched_applicants,354.0,235.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,239.0,238.0,239.0,248.0,251.0,264.0,266.0,273.0,293.0,291.0,296.0,300.0,308.0,310.0,317.0,322.0,334.0,342.0,342.0
unmatched_applicants,356.0,235.0,235.0,235.0,234.0,234.0,234.0,234.0,234.0,234.0,240.0,238.0,249.0,250.0,260.0,267.0,276.0,288.0,287.0,297.0,302.0,315.0,315.0,320.0,324.0,329.0,335.0,344.0
unmatched_applicants,355.0,234.0,235.0,234.0,234.0,234.0,234.0,235.0,234.0,234.0,240.0,244.0,245.0,256.0,255.0,268.0,284.0,283.0,295.0,299.0,307.0,315.0,318.0,317.0,326.0,332.0,335.0,338.0
unmatched_applicants,355.0,234.0,236.0,234.0,234.0,234.0,234.0,234.0,234.0,236.0,239.0,239.0,251.0,249.0,264.0,269.0,277.0,286.0,286.0,305.0,302.0,310.0,318.0,318.0,329.0,328.0,330.0,343.0
unfilled_spots,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,16.0,20.0,29.0,29.0,39.0,47.0,58.0,58.0,75.0,79.0,83.0,87.0,94.0,97.0,103.0,108.0
unfilled_spots,120.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,20.0,19.0,30.0,33.0,44.0,46.0,57.0,66.0,68.0,77.0,83.0,91.0,99.0,99.0,105.0,104.0
unfilled_spots,120.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,8.0,17.0,24.0,33.0,42.0,53.0,56.0,60.0,68.0,73.0,78.0,88.0,97.0,97.0,104.0,109.0
unfilled_spots,120.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,11.0,20.0,28.0,39.0,43.0,53.0,55.0,68.0,71.0,82.0,84.0,91.0,92.0,96.0,104.0,111.0
unfilled_spots,124.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,16.0,23.0,28.0,34.0,38.0,47.0,59.0,68.0,70.0,79.0,84.0,86.0,95.0,100.0,102.0,114.0
unfilled_spots,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,14.0,23.0,24.0,34.0,47.0,51.0,61.0,67.0,70.0,79.0,83.0,90.0,88.0,107.0,102.0,104.0
unfilled_spots,120.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,14.0,17.0,30.0,32.0,39.0,59.0,57.0,62.0,66.0,74.0,76.0,83.0,88.0,100.0,108.0,108.0
unfilled_spots,122.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,15.0,16.0,26.0,33.0,42.0,54.0,53.0,63.0,68.0,81.0,81.0,86.0,90.0,95.0,101.0,110.0
unfilled_spots,121.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,11.0,22.0,21.0,34.0,50.0,49.0,61.0,65.0,73.0,81.0,84.0,83.0,92.0,98.0,101.0,104.0
unfilled_spots,121.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,17.0,15.0,30.0,35.0,43.0,52.0,52.0,71.0,68.0,76.0,84.0,84.0,95.0,94.0,96.0,109.0
reviews_per_program,118.01652892561984,118.01652892561984,118.01652892561984,118.01652892561984,115.5702479338843,101.75206611570248,69.47107438016529,45.32231404958678,37.247933884297524,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785
reviews_per_program,118.01652892561984,118.01652892561984,118.01652892561984,118.01652892561984,117.29752066115702,99.28099173553719,70.57851239669421,48.107438016528924,34.87603305785124,35.95867768595041,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785
reviews_per_program,118.01652892561984,118.01652892561984,118.01652892561984,118.01652892561984,117.25619834710744,97.47933884297521,73.54545454545455,48.917355371900825,35.93388429752066,36.049586776859506,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785
reviews_per_program,118.01652892561984,118.01652892561984,118.01652892561984,118.01652892561984,113.69421487603306,103.12396694214875,70.35537190082644,50.68595041322314,36.51239669421488,37.43801652892562,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785
reviews_per_program,118.01652892561984,118.01652892561984,118.01652892561984,118.01652892561984,114.49586776859505,98.56198347107438,68.28099173553719,49.28099173553719,37.30578512396694,36.578512396694215,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785
reviews_per_program,118.01652892561984,118.01652892561984,118.01652892561984,118.01652892561984,113.95867768595042,98.32231404958678,67.88429752066116,44.66942148760331,37.743801652892564,36.15702479338843,39.84297520661157,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785
reviews_per_program,118.01652892561984,118.01652892561984,118.01652892561984,118.01652892561984,112.11570247933884,98.06611570247934,68.83471074380165,49.71900826446281,36.35537190082645,35.40495867768595,39.33884297520661,43.27272727272727,47.20661157024794,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785
