Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,270.0379746835443,226.40506329113924,153.27848101265823,97.40506329113924,80.75949367088607,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,270.24050632911394,242.86075949367088,156.44303797468353,94.68354430379746,78.26582278481013,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,227.13924050632912,164.1772151898734,94.54430379746836,83.10126582278481,85.92405063291139,93.35443037974683,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,267.4177215189873,246.18987341772151,165.873417721519,100.22784810126582,78.31645569620254,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,270.0632911392405,237.36708860759492,161.34177215189874,102.65822784810126,86.35443037974683,85.81012658227849,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,270.24050632911394,239.8860759493671,152.36708860759492,107.60759493670886,88.50632911392405,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,267.44303797468353,227.30379746835442,151.1012658227848,104.60759493670886,80.9113924050633,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,267.30379746835445,231.30379746835442,164.8860759493671,97.9113924050633,88.73417721518987,85.89873417721519,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,267.2151898734177,226.72151898734177,163.86075949367088,99.51898734177215,80.75949367088607,83.40506329113924,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
reviews_per_program,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,272.9620253164557,267.7088607594937,237.58227848101265,159.1772151898734,110.15189873417721,80.59493670886076,85.9746835443038,90.9873417721519,98.56962025316456,106.15189873417721,113.73417721518987,121.31645569620254,128.8987341772152,136.48101265822785,144.0632911392405,151.64556962025316,159.22784810126583,166.81012658227849,174.39240506329114,181.9746835443038,189.55696202531647,197.13924050632912,204.72151898734177,212.30379746835442,219.8860759493671,227.46835443037975,235.0506329113924,242.63291139240508,250.21518987341773,257.7974683544304,265.37974683544303
