Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,1264.0,677.0,683.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,687.0,705.0,719.0,757.0,786.0,832.0,858.0,889.0,913.0,972.0,1001.0,1028.0,1051.0,1092.0,1123.0,1153.0,1164.0,1188.0
unmatched_applicants,1274.0,676.0,681.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,692.0,704.0,719.0,736.0,775.0,813.0,860.0,900.0,915.0,967.0,1013.0,1015.0,1057.0,1105.0,1120.0,1121.0,1176.0,1206.0
unmatched_applicants,1273.0,677.0,683.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,695.0,695.0,709.0,741.0,792.0,810.0,866.0,899.0,921.0,956.0,1006.0,1037.0,1060.0,1094.0,1139.0,1139.0,1174.0,1189.0
unmatched_applicants,1260.0,679.0,676.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,681.0,676.0,686.0,711.0,736.0,740.0,777.0,823.0,869.0,884.0,924.0,960.0,993.0,1059.0,1063.0,1084.0,1119.0,1137.0,1171.0,1194.0
unmatched_applicants,1263.0,680.0,680.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,679.0,677.0,678.0,682.0,702.0,724.0,740.0,769.0,815.0,860.0,898.0,933.0,944.0,987.0,1018.0,1045.0,1084.0,1126.0,1137.0,1161.0,1199.0
unmatched_applicants,1271.0,676.0,677.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,679.0,700.0,730.0,745.0,782.0,806.0,847.0,894.0,916.0,991.0,993.0,1028.0,1066.0,1100.0,1119.0,1136.0,1156.0,1196.0
unmatched_applicants,1254.0,677.0,683.0,679.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,679.0,678.0,709.0,727.0,754.0,791.0,798.0,849.0,868.0,944.0,956.0,976.0,1042.0,1070.0,1094.0,1129.0,1152.0,1173.0,1202.0
unmatched_applicants,1252.0,688.0,678.0,678.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,682.0,704.0,715.0,748.0,785.0,801.0,858.0,894.0,922.0,967.0,981.0,1037.0,1074.0,1102.0,1116.0,1135.0,1179.0,1209.0
unmatched_applicants,1261.0,677.0,682.0,682.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,680.0,678.0,677.0,694.0,719.0,751.0,783.0,823.0,855.0,894.0,918.0,980.0,1000.0,1030.0,1056.0,1102.0,1116.0,1145.0,1173.0,1192.0
unmatched_applicants,1274.0,684.0,688.0,681.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,678.0,676.0,676.0,683.0,691.0,705.0,725.0,742.0,789.0,821.0,844.0,892.0,924.0,959.0,997.0,1038.0,1075.0,1087.0,1125.0,1119.0,1170.0,1177.0
