Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
unmatched_applicants,12544.0,6519.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6534.0,6606.0,6842.0,7133.0,7507.0,7953.0,8297.0,8669.0,9063.0,9266.0,9572.0,9870.0,10145.0,10398.0,10632.0,10822.0,11078.0,11295.0,11395.0,11564.0,11693.0,11924.0,12030.0,12177.0
unmatched_applicants,12488.0,6519.0,6523.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6521.0,6534.0,6587.0,6853.0,7126.0,7512.0,7969.0,8242.0,8600.0,8947.0,9308.0,9608.0,9843.0,10149.0,10361.0,10596.0,10823.0,11038.0,11239.0,11405.0,11615.0,11748.0,11916.0,11986.0,12203.0
unmatched_applicants,12494.0,6519.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6528.0,6531.0,6631.0,6825.0,7129.0,7520.0,7954.0,8269.0,8652.0,8979.0,9309.0,9596.0,9892.0,10114.0,10361.0,10630.0,10894.0,11021.0,11302.0,11427.0,11563.0,11821.0,11887.0,12045.0,12123.0
unmatched_applicants,12581.0,6519.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6533.0,6623.0,6824.0,7066.0,7454.0,7885.0,8344.0,8637.0,9034.0,9330.0,9608.0,9908.0,10193.0,10431.0,10631.0,10843.0,11031.0,11236.0,11466.0,11596.0,11681.0,11885.0,11984.0,12168.0
unmatched_applicants,12570.0,6519.0,6523.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6539.0,6662.0,6881.0,7111.0,7496.0,7885.0,8226.0,8683.0,8965.0,9292.0,9596.0,9919.0,10216.0,10428.0,10689.0,10813.0,11049.0,11252.0,11452.0,11566.0,11745.0,11864.0,12063.0,12195.0
unmatched_applicants,12570.0,6519.0,6523.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6523.0,6536.0,6603.0,6840.0,7134.0,7500.0,7884.0,8213.0,8667.0,8949.0,9223.0,9611.0,9850.0,10162.0,10409.0,10658.0,10838.0,11084.0,11275.0,11408.0,11593.0,11735.0,11878.0,12045.0,12142.0
unmatched_applicants,12543.0,6519.0,6522.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6521.0,6636.0,6823.0,7117.0,7447.0,7868.0,8290.0,8628.0,8994.0,9345.0,9654.0,9900.0,10194.0,10398.0,10590.0,10890.0,11065.0,11259.0,11381.0,11569.0,11771.0,11917.0,12051.0,12191.0
unmatched_applicants,12550.0,6519.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6549.0,6654.0,6799.0,7123.0,7545.0,7889.0,8282.0,8615.0,9011.0,9269.0,9666.0,9912.0,10162.0,10353.0,10640.0,10858.0,11045.0,11260.0,11410.0,11533.0,11768.0,11894.0,12033.0,12158.0
unmatched_applicants,12556.0,6519.0,6519.0,6521.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6584.0,6848.0,7188.0,7444.0,7884.0,8271.0,8596.0,9018.0,9297.0,9622.0,9881.0,10133.0,10421.0,10603.0,10850.0,11088.0,11201.0,11363.0,11560.0,11773.0,11871.0,12056.0,12181.0
unmatched_applicants,12501.0,6519.0,6520.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6519.0,6530.0,6534.0,6618.0,6827.0,7141.0,7599.0,7864.0,8270.0,8676.0,8924.0,9316.0,9622.0,9916.0,10137.0,10325.0,10641.0,10842.0,11029.0,11246.0,11401.0,11566.0,11723.0,11881.0,11998.0,12143.0
unfilled_spots,6025.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,87.0,323.0,614.0,988.0,1434.0,1778.0,2150.0,2544.0,2747.0,3053.0,3351.0,3626.0,3879.0,4113.0,4303.0,4559.0,4776.0,4876.0,5045.0,5174.0,5405.0,5511.0,5658.0
unfilled_spots,5969.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,68.0,334.0,607.0,993.0,1450.0,1723.0,2081.0,2428.0,2789.0,3089.0,3324.0,3630.0,3842.0,4077.0,4304.0,4519.0,4720.0,4886.0,5096.0,5229.0,5397.0,5467.0,5684.0
unfilled_spots,5975.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,112.0,306.0,610.0,1001.0,1435.0,1750.0,2133.0,2460.0,2790.0,3077.0,3373.0,3595.0,3842.0,4111.0,4375.0,4502.0,4783.0,4908.0,5044.0,5302.0,5368.0,5526.0,5604.0
unfilled_spots,6062.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,104.0,305.0,547.0,935.0,1366.0,1825.0,2118.0,2515.0,2811.0,3089.0,3389.0,3674.0,3912.0,4112.0,4324.0,4512.0,4717.0,4947.0,5077.0,5162.0,5366.0,5465.0,5649.0
unfilled_spots,6051.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,143.0,362.0,592.0,977.0,1366.0,1707.0,2164.0,2446.0,2773.0,3077.0,3400.0,3697.0,3909.0,4170.0,4294.0,4530.0,4733.0,4933.0,5047.0,5226.0,5345.0,5544.0,5676.0
unfilled_spots,6051.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,84.0,321.0,615.0,981.0,1365.0,1694.0,2148.0,2430.0,2704.0,3092.0,3331.0,3643.0,3890.0,4139.0,4319.0,4565.0,4756.0,4889.0,5074.0,5216.0,5359.0,5526.0,5623.0
