Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,1256.0,733.0,727.0,726.0,726.0,726.0,726.0,726.0,751.0,782.0,804.0,853.0,893.0,921.0,966.0,978.0,1014.0,1046.0,1072.0,1104.0,1114.0,1136.0,1157.0,1155.0,1182.0,1187.0,1214.0,1211.0
unmatched_applicants,1252.0,727.0,731.0,726.0,726.0,726.0,726.0,731.0,745.0,765.0,815.0,834.0,868.0,924.0,959.0,989.0,1020.0,1049.0,1071.0,1096.0,1114.0,1142.0,1151.0,1180.0,1187.0,1200.0,1211.0,1223.0
unmatched_applicants,1257.0,731.0,726.0,726.0,726.0,726.0,726.0,730.0,738.0,776.0,802.0,835.0,878.0,927.0,951.0,1004.0,1022.0,1052.0,1082.0,1093.0,1125.0,1133.0,1147.0,1169.0,1178.0,1197.0,1208.0,1222.0
unmatched_applicants,1253.0,736.0,726.0,726.0,726.0,726.0,726.0,730.0,758.0,768.0,800.0,836.0,886.0,944.0,962.0,989.0,1005.0,1049.0,1062.0,1083.0,1121.0,1136.0,1154.0,1165.0,1192.0,1200.0,1201.0,1231.0
unmatched_applicants,1249.0,731.0,730.0,726.0,726.0,726.0,729.0,729.0,741.0,774.0,833.0,852.0,892.0,917.0,959.0,1001.0,1018.0,1039.0,1076.0,1101.0,1112.0,1139.0,1162.0,1164.0,1180.0,1193.0,1202.0,1236.0
unmatched_applicants,1253.0,731.0,728.0,726.0,726.0,726.0,727.0,729.0,734.0,751.0,807.0,850.0,885.0,926.0,959.0,994.0,1031.0,1054.0,1070.0,1090.0,1112.0,1141.0,1148.0,1171.0,1195.0,1199.0,1210.0,1228.0
unmatched_applicants,1261.0,728.0,727.0,726.0,726.0,726.0,726.0,726.0,745.0,783.0,803.0,835.0,869.0,922.0,970.0,990.0,1016.0,1050.0,1064.0,1103.0,1119.0,1136.0,1150.0,1173.0,1189.0,1201.0,1209.0,1224.0
unmatched_applicants,1256.0,726.0,729.0,726.0,726.0,726.0,726.0,736.0,738.0,774.0,809.0,832.0,878.0,923.0,959.0,997.0,1021.0,1051.0,1067.0,1099.0,1110.0,1139.0,1150.0,1165.0,1177.0,1203.0,1212.0,1230.0
unmatched_applicants,1251.0,737.0,729.0,726.0,726.0,726.0,727.0,728.0,749.0,768.0,805.0,837.0,885.0,934.0,962.0,994.0,1019.0,1057.0,1074.0,1090.0,1119.0,1134.0,1159.0,1188.0,1179.0,1199.0,1206.0,1225.0
unmatched_applicants,1258.0,729.0,727.0,726.0,726.0,726.0,726.0,726.0,748.0,774.0,803.0,851.0,901.0,931.0,946.0,992.0,1020.0,1049.0,1073.0,1102.0,1121.0,1120.0,1160.0,1171.0,1192.0,1197.0,1219.0,1232.0
unfilled_spots,530.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,56.0,78.0,127.0,167.0,195.0,240.0,252.0,288.0,320.0,346.0,378.0,388.0,410.0,431.0,429.0,456.0,461.0,488.0,485.0
unfilled_spots,526.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,19.0,39.0,89.0,108.0,142.0,198.0,233.0,263.0,294.0,323.0,345.0,370.0,388.0,416.0,425.0,454.0,461.0,474.0,485.0,497.0
unfilled_spots,531.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,50.0,76.0,109.0,152.0,201.0,225.0,278.0,296.0,326.0,356.0,367.0,399.0,407.0,421.0,443.0,452.0,471.0,482.0,496.0
unfilled_spots,527.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,42.0,74.0,110.0,160.0,218.0,236.0,263.0,279.0,323.0,336.0,357.0,395.0,410.0,428.0,439.0,466.0,474.0,475.0,505.0
unfilled_spots,523.0,5.0,4.0,0.0,0.0,0.0,3.0,3.0,15.0,48.0,107.0,126.0,166.0,191.0,233.0,275.0,292.0,313.0,350.0,375.0,386.0,413.0,436.0,438.0,454.0,467.0,476.0,510.0
unfilled_spots,527.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,8.0,25.0,81.0,124.0,159.0,200.0,233.0,268.0,305.0,328.0,344.0,364.0,386.0,415.0,422.0,445.0,469.0,473.0,484.0,502.0
unfilled_spots,535.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,57.0,77.0,109.0,143.0,196.0,244.0,264.0,290.0,324.0,338.0,377.0,393.0,410.0,424.0,447.0,463.0,475.0,483.0,498.0
unfilled_spots,530.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,12.0,48.0,83.0,106.0,152.0,197.0,233.0,271.0,295.0,325.0,341.0,373.0,384.0,413.0,424.0,439.0,451.0,477.0,486.0,504.0
