Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,334.0899470899471,220.34391534391534,130.8994708994709,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,331.74074074074076,231.3015873015873,125.65608465608466,128.85714285714286,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,335.5820105820106,209.45502645502646,130.07407407407408,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,334.2116402116402,217.60846560846562,129.8941798941799,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
reviews_per_program,351.18518518518516,351.18518518518516,351.18518518518516,351.18518518518516,349.7037037037037,333.13227513227514,227.9100529100529,129.60846560846562,128.984126984127,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9975472323500165,0.9591205391669428,0.852739239547327,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.996685449121644,0.9493426140757927,0.8518869264643212,0.7476383824991714,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9969506131919125,0.953762015246934,0.8525971873668261,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9960225389459728,0.9507236769417744,0.8491405843079691,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9985415976135233,0.9517180422052812,0.8506558075666462,0.7478041100430891,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9971494862446139,0.9497845541929069,0.8515554713764857,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9954922108054358,0.9585681140205502,0.8519816279179886,0.7478041100430891,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9975472323500165,0.9524361948955916,0.8506558075666462,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9957573748757044,0.9540934703347697,0.8521710308253232,0.7478455419290686,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9971494862446139,0.9536515302176555,0.8518395757374876,0.7478041100430891,0.6647515928258387,0.5982764335432549,0.5438876668575044,0.49856369461937905,0.46021264118711913,0.42734030967375347,0.3988509556955033,0.3739227709645343,0.35192731384897347,0.33237579641291937,0.3148823334438184,0.29913821677162744,0.2848935397825023
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05853106904014506,0.014252568776930727,0.0009059772400839686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05878453469554875,0.017919290686112033,0.0013037233454866865,0.00011837681708414224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05870654526311685,0.01626201524693404,0.0009722682576510883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05897950827662852,0.01740139211136891,0.0025853496851176664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05823860866852541,0.01702850513755386,0.001878245497735057,2.367536341682845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05864805318879292,0.017753563142194232,0.0014584023864766325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.059135487141492325,0.014459728206827975,0.0012595293337752734,2.367536341682845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05853106904014506,0.01675919787868744,0.001878245497735057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05905749770906042,0.01613771958899569,0.0011711413103524472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.2719438334287522,0.2372744921634547,0.19913821677162744,0.1569875966017131,0.11015357419069716,0.05864805318879292,0.01630344713291349,0.001325820351342393,2.367536341682845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
pct_interview_given_application,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522,0.2719438334287522
