Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
reviews_per_program,299.0,299.0,105.74074074074075,43.51851851851852,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,277.85185185185185,136.85185185185185,43.55555555555556,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,299.0,146.2962962962963,43.629629629629626,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,288.3703703703704,157.4814814814815,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,299.0,136.2962962962963,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,267.6296296296296,147.25925925925927,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,288.6296296296296,126.29629629629629,43.55555555555556,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,288.4074074074074,126.44444444444444,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,288.3703703703704,167.14814814814815,43.55555555555556,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
reviews_per_program,299.0,277.6666666666667,136.40740740740742,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037,265.77777777777777,276.85185185185185,287.9259259259259
pct_interview_given_signal,0.0,1.0,0.8879598662207357,0.6365663322185061,0.4782608695652174,0.3826086956521739,0.3188405797101449,0.2732919254658385,0.2391304347826087,0.21256038647342995,0.19130434782608696,0.17391304347826086,0.15942028985507245,0.14715719063545152,0.13664596273291926,0.12753623188405797,0.11956521739130435,0.11253196930946291,0.10628019323671498,0.10068649885583524,0.09565217391304348,0.09109730848861283,0.08695652173913043,0.0831758034026465,0.07971014492753623,0.07652173913043478,0.07357859531772576
pct_interview_given_signal,0.0,0.9832775919732442,0.8729096989966555,0.6354515050167224,0.4782608695652174,0.3826086956521739,0.3188405797101449,0.2732919254658385,0.2391304347826087,0.21256038647342995,0.19130434782608696,0.17391304347826086,0.15942028985507245,0.14715719063545152,0.13664596273291926,0.12753623188405797,0.11956521739130435,0.11253196930946291,0.10628019323671498,0.10068649885583524,0.09565217391304348,0.09109730848861283,0.08695652173913043,0.0831758034026465,0.07971014492753623,0.07652173913043478,0.07357859531772576
pct_interview_given_signal,0.0,1.0,0.9096989966555183,0.633221850613155,0.4782608695652174,0.3826086956521739,0.3188405797101449,0.2732919254658385,0.2391304347826087,0.21256038647342995,0.19130434782608696,0.17391304347826086,0.15942028985507245,0.14715719063545152,0.13664596273291926,0.12753623188405797,0.11956521739130435,0.11253196930946291,0.10628019323671498,0.10068649885583524,0.09565217391304348,0.09109730848861283,0.08695652173913043,0.0831758034026465,0.07971014492753623,0.07652173913043478,0.07357859531772576
pct_interview_given_signal,0.0,0.9966555183946488,0.8678929765886287,0.6376811594202898,0.4782608695652174,0.3826086956521739,0.3188405797101449,0.2732919254658385,0.2391304347826087,0.21256038647342995,0.19130434782608696,0.17391304347826086,0.15942028985507245,0.14715719063545152,0.13664596273291926,0.12753623188405797,0.11956521739130435,0.11253196930946291,0.10628019323671498,0.10068649885583524,0.09565217391304348,0.09109730848861283,0.08695652173913043,0.0831758034026465,0.07971014492753623,0.07652173913043478,0.07357859531772576
pct_interview_given_signal,0.0,1.0,0.8979933110367893,0.6376811594202898,0.4782608695652174,0.3826086956521739,0.3188405797101449,0.2732919254658385,0.2391304347826087,0.21256038647342995,0.19130434782608696,0.17391304347826086,0.15942028985507245,0.14715719063545152,0.13664596273291926,0.12753623188405797,0.11956521739130435,0.11253196930946291,0.10628019323671498,0.10068649885583524,0.09565217391304348,0.09109730848861283,0.08695652173913043,0.0831758034026465,0.07971014492753623,0.07652173913043478,0.07357859531772576
