Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
reviews_per_program,265.77777777777777,256.0,221.92592592592592,103.51851851851852,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037
reviews_per_program,265.77777777777777,265.77777777777777,230.77777777777777,86.88888888888889,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037
reviews_per_program,265.77777777777777,265.77777777777777,247.85185185185185,95.92592592592592,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037
reviews_per_program,265.77777777777777,256.6296296296296,248.22222222222223,86.48148148148148,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037
reviews_per_program,265.77777777777777,265.77777777777777,239.37037037037038,112.92592592592592,52.888888888888886,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742,221.4814814814815,232.55555555555554,243.62962962962962,254.7037037037037
pct_interview_given_signal,0.0,1.0,0.9816053511705686,0.8439241917502787,0.6521739130434783,0.5217391304347826,0.43478260869565216,0.37267080745341613,0.32608695652173914,0.2898550724637681,0.2608695652173913,0.23715415019762845,0.21739130434782608,0.20066889632107024,0.18633540372670807,0.17391304347826086,0.16304347826086957,0.1534526854219949,0.14492753623188406,0.13729977116704806,0.13043478260869565,0.12422360248447205,0.11857707509881422,0.11342155009451796
pct_interview_given_signal,0.0,1.0,0.9565217391304348,0.8416945373467113,0.6513377926421404,0.5217391304347826,0.43478260869565216,0.37267080745341613,0.32608695652173914,0.2898550724637681,0.2608695652173913,0.23715415019762845,0.21739130434782608,0.20066889632107024,0.18633540372670807,0.17391304347826086,0.16304347826086957,0.1534526854219949,0.14492753623188406,0.13729977116704806,0.13043478260869565,0.12422360248447205,0.11857707509881422,0.11342155009451796
pct_interview_given_signal,0.0,1.0,0.9816053511705686,0.8338907469342252,0.6521739130434783,0.5217391304347826,0.43478260869565216,0.37267080745341613,0.32608695652173914,0.2898550724637681,0.2608695652173913,0.23715415019762845,0.21739130434782608,0.20066889632107024,0.18633540372670807,0.17391304347826086,0.16304347826086957,0.1534526854219949,0.14492753623188406,0.13729977116704806,0.13043478260869565,0.12422360248447205,0.11857707509881422,0.11342155009451796
pct_interview_given_signal,0.0,1.0,0.9765886287625418,0.8461538461538461,0.6513377926421404,0.5217391304347826,0.43478260869565216,0.37267080745341613,0.32608695652173914,0.2898550724637681,0.2608695652173913,0.23715415019762845,0.21739130434782608,0.20066889632107024,0.18633540372670807,0.17391304347826086,0.16304347826086957,0.1534526854219949,0.14492753623188406,0.13729977116704806,0.13043478260869565,0.12422360248447205,0.11857707509881422,0.11342155009451796
pct_interview_given_signal,0.0,1.0,0.9882943143812709,0.8584169453734671,0.6521739130434783,0.5217391304347826,0.43478260869565216,0.37267080745341613,0.32608695652173914,0.2898550724637681,0.2608695652173913,0.23715415019762845,0.21739130434782608,0.20066889632107024,0.18633540372670807,0.17391304347826086,0.16304347826086957,0.1534526854219949,0.14492753623188406,0.13729977116704806,0.13043478260869565,0.12422360248447205,0.11857707509881422,0.11342155009451796
