Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
unmatched_applicants,13149.0,6245.0,6195.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6206.0,6284.0,6567.0,7077.0,7580.0,8078.0,8541.0,8958.0,9359.0,9723.0,10067.0,10376.0,10735.0,10984.0,11224.0,11418.0,11680.0,11823.0,12008.0,12182.0,12324.0,12491.0,12637.0,12775.0,12840.0,12979.0
unmatched_applicants,13137.0,6220.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6198.0,6300.0,6563.0,7013.0,7545.0,8043.0,8486.0,8919.0,9297.0,9773.0,10112.0,10377.0,10657.0,10985.0,11246.0,11422.0,11663.0,11818.0,12015.0,12169.0,12344.0,12542.0,12655.0,12754.0,12860.0,13006.0
unmatched_applicants,13148.0,6234.0,6192.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6209.0,6329.0,6578.0,6969.0,7500.0,8062.0,8539.0,8904.0,9428.0,9656.0,10112.0,10380.0,10710.0,11002.0,11210.0,11413.0,11616.0,11822.0,12033.0,12203.0,12342.0,12497.0,12632.0,12776.0,12867.0,13015.0
unmatched_applicants,13153.0,6232.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6200.0,6277.0,6536.0,7101.0,7478.0,7960.0,8555.0,9025.0,9368.0,9762.0,10134.0,10380.0,10739.0,10974.0,11237.0,11433.0,11662.0,11850.0,12071.0,12212.0,12396.0,12518.0,12604.0,12792.0,12894.0,13049.0
unmatched_applicants,13132.0,6237.0,6193.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6208.0,6265.0,6576.0,7041.0,7515.0,8112.0,8564.0,8914.0,9416.0,9738.0,10104.0,10426.0,10730.0,10967.0,11158.0,11437.0,11641.0,11836.0,12017.0,12155.0,12369.0,12509.0,12664.0,12790.0,12896.0,13035.0
unmatched_applicants,13119.0,6258.0,6194.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6198.0,6341.0,6627.0,6989.0,7453.0,8058.0,8547.0,8987.0,9341.0,9749.0,10086.0,10374.0,10680.0,10998.0,11231.0,11449.0,11645.0,11846.0,12029.0,12164.0,12343.0,12549.0,12671.0,12738.0,12864.0,13013.0
unmatched_applicants,13113.0,6236.0,6196.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6196.0,6246.0,6519.0,6933.0,7552.0,8023.0,8489.0,9029.0,9360.0,9749.0,10116.0,10359.0,10763.0,10996.0,11215.0,11410.0,11595.0,11858.0,12008.0,12186.0,12307.0,12487.0,12617.0,12751.0,12918.0,13000.0
unmatched_applicants,13085.0,6231.0,6196.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6211.0,6299.0,6587.0,7020.0,7487.0,8113.0,8529.0,8992.0,9446.0,9738.0,10082.0,10506.0,10747.0,10971.0,11196.0,11446.0,11582.0,11821.0,11975.0,12188.0,12367.0,12470.0,12671.0,12751.0,12882.0,13037.0
unmatched_applicants,13120.0,6228.0,6192.0,6190.0,6190.0,6190.0,6190.0,6190.0,6192.0,6200.0,6301.0,6522.0,7044.0,7452.0,8041.0,8601.0,9008.0,9363.0,9713.0,10077.0,10335.0,10702.0,10923.0,11234.0,11426.0,11608.0,11812.0,12049.0,12148.0,12345.0,12524.0,12580.0,12765.0,12907.0,13044.0
unmatched_applicants,13102.0,6228.0,6192.0,6190.0,6190.0,6190.0,6190.0,6190.0,6190.0,6213.0,6323.0,6574.0,7065.0,7452.0,8053.0,8554.0,8975.0,9344.0,9784.0,10040.0,10362.0,10733.0,10932.0,11200.0,11390.0,11650.0,11830.0,12054.0,12186.0,12327.0,12536.0,12645.0,12778.0,12864.0,13014.0
