Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,225.94059405940595,208.21534653465346,160.01732673267327,116.6509900990099,97.74009900990099,97.66584158415841,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,224.69306930693068,209.61138613861385,164.11138613861385,114.87128712871286,100.0569306930693,98.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,226.76732673267327,208.87623762376236,160.99257425742573,111.33910891089108,94.66831683168317,99.23514851485149,105.76237623762377,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,224.24257425742573,208.47277227722773,160.8910891089109,113.81435643564356,96.42574257425743,98.6509900990099,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,225.93069306930693,207.56683168316832,161.08663366336634,114.22524752475248,97.21782178217822,99.58415841584159,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,223.8391089108911,210.34653465346534,159.47277227722773,110.88118811881188,96.58663366336634,99.50742574257426,105.78960396039604,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,225.05693069306932,206.5990099009901,162.72772277227722,115.11138613861387,96.14603960396039,98.9480198019802,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
reviews_per_program,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,227.1881188118812,225.55693069306932,205.8861386138614,161.77970297029702,115.28465346534654,98.24752475247524,98.63118811881188,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673,202.84653465346534
pct_interview_given_signal,0.0,1.023489932885906,1.0176937156802928,1.0156599552572707,1.0125838926174497,1.010372178157413,1.0080333536709376,1.0044887997908132,0.9968730933496034,0.9693241136194156,0.9079926784624771,0.8379277830162516,0.7701342281879194,0.7110104660440231,0.6602457944739824,0.6162294081757169,0.5777150701647346,0.5437318307432796,0.5135245068130975,0.48649690119135547,0.4621720561317877,0.4401638629826549,0.42015641466526155,0.40188874446242406,0.3851433801098231,0.36973764490543015
pct_interview_given_signal,0.0,1.0176937156802928,1.0170835875533861,1.015049827130364,1.0120500305064064,1.010738255033557,1.0074740695546065,1.0049246055957466,0.9953096400244051,0.9655616568368246,0.9095179987797437,0.8375672527594431,0.7699054301403294,0.7110339325104426,0.6602457944739824,0.6162294081757169,0.5777150701647346,0.5437318307432796,0.5135245068130975,0.48649690119135547,0.4621720561317877,0.4401638629826549,0.42015641466526155,0.40188874446242406,0.3851433801098231,0.36973764490543015
