Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
unmatched_applicants,170.0,100.0,98.0,93.0,91.0,91.0,93.0,91.0,92.0,94.0,97.0,101.0,105.0,104.0,116.0,122.0,121.0,132.0,128.0,133.0,135.0,146.0,146.0,153.0,162.0,164.0
unmatched_applicants,163.0,105.0,94.0,94.0,92.0,91.0,91.0,91.0,93.0,92.0,94.0,97.0,102.0,107.0,108.0,117.0,119.0,129.0,134.0,139.0,146.0,152.0,149.0,158.0,158.0,158.0
unmatched_applicants,166.0,101.0,93.0,96.0,91.0,91.0,91.0,92.0,94.0,94.0,102.0,100.0,104.0,109.0,112.0,111.0,121.0,125.0,130.0,135.0,139.0,146.0,152.0,149.0,156.0,162.0
unmatched_applicants,170.0,100.0,94.0,93.0,91.0,95.0,91.0,91.0,93.0,93.0,91.0,100.0,104.0,107.0,110.0,119.0,127.0,127.0,132.0,147.0,140.0,147.0,155.0,159.0,161.0,169.0
unmatched_applicants,169.0,99.0,93.0,96.0,91.0,91.0,91.0,91.0,94.0,96.0,99.0,98.0,112.0,112.0,112.0,118.0,122.0,128.0,132.0,139.0,145.0,149.0,148.0,156.0,160.0,157.0
unmatched_applicants,163.0,100.0,98.0,93.0,93.0,91.0,91.0,91.0,94.0,91.0,95.0,104.0,104.0,105.0,116.0,117.0,121.0,130.0,134.0,133.0,148.0,149.0,150.0,159.0,159.0,166.0
unmatched_applicants,167.0,105.0,96.0,94.0,91.0,93.0,91.0,91.0,92.0,93.0,95.0,97.0,100.0,115.0,114.0,113.0,121.0,134.0,133.0,138.0,145.0,145.0,152.0,160.0,157.0,160.0
unmatched_applicants,165.0,104.0,97.0,91.0,91.0,92.0,91.0,91.0,93.0,97.0,99.0,104.0,97.0,114.0,116.0,116.0,115.0,121.0,134.0,140.0,136.0,149.0,150.0,153.0,168.0,165.0
unmatched_applicants,164.0,97.0,98.0,91.0,91.0,91.0,91.0,93.0,93.0,95.0,95.0,97.0,108.0,117.0,110.0,120.0,125.0,122.0,131.0,132.0,142.0,143.0,153.0,161.0,159.0,165.0
unmatched_applicants,169.0,96.0,97.0,93.0,91.0,91.0,91.0,93.0,93.0,93.0,99.0,98.0,108.0,110.0,117.0,117.0,127.0,132.0,136.0,137.0,147.0,146.0,146.0,152.0,164.0,164.0
unfilled_spots,79.0,9.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,6.0,10.0,14.0,13.0,25.0,31.0,30.0,41.0,37.0,42.0,44.0,55.0,55.0,62.0,71.0,73.0
unfilled_spots,72.0,14.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,11.0,16.0,17.0,26.0,28.0,38.0,43.0,48.0,55.0,61.0,58.0,67.0,67.0,67.0
