Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
unmatched_applicants,1977.0,1265.0,1262.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1263.0,1273.0,1312.0,1339.0,1379.0,1459.0,1494.0,1574.0,1635.0,1693.0,1736.0,1805.0,1817.0
unmatched_applicants,1995.0,1260.0,1265.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1271.0,1304.0,1347.0,1397.0,1470.0,1507.0,1556.0,1629.0,1680.0,1744.0,1802.0,1861.0
unmatched_applicants,1982.0,1268.0,1264.0,1259.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1275.0,1291.0,1319.0,1362.0,1433.0,1523.0,1575.0,1635.0,1670.0,1768.0,1798.0,1837.0
unmatched_applicants,1984.0,1258.0,1259.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1259.0,1258.0,1268.0,1293.0,1327.0,1411.0,1449.0,1491.0,1571.0,1625.0,1706.0,1759.0,1806.0,1849.0
unmatched_applicants,1993.0,1259.0,1261.0,1259.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1262.0,1278.0,1293.0,1323.0,1394.0,1440.0,1514.0,1578.0,1627.0,1686.0,1773.0,1816.0,1845.0
unmatched_applicants,1979.0,1259.0,1265.0,1260.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1262.0,1258.0,1262.0,1284.0,1342.0,1373.0,1445.0,1518.0,1565.0,1617.0,1685.0,1751.0,1780.0,1867.0
unmatched_applicants,2001.0,1269.0,1261.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1270.0,1293.0,1318.0,1369.0,1442.0,1524.0,1549.0,1620.0,1681.0,1732.0,1827.0,1867.0
unmatched_applicants,1982.0,1264.0,1263.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1261.0,1263.0,1264.0,1291.0,1319.0,1357.0,1457.0,1502.0,1564.0,1641.0,1676.0,1732.0,1801.0,1873.0
unmatched_applicants,1995.0,1262.0,1261.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1263.0,1265.0,1297.0,1336.0,1373.0,1443.0,1518.0,1567.0,1603.0,1710.0,1730.0,1797.0,1859.0
unmatched_applicants,1995.0,1260.0,1260.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1258.0,1272.0,1300.0,1335.0,1388.0,1458.0,1504.0,1574.0,1622.0,1685.0,1763.0,1793.0,1852.0
unfilled_spots,719.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,54.0,81.0,121.0,201.0,236.0,316.0,377.0,435.0,478.0,547.0,559.0
unfilled_spots,737.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0,89.0,139.0,212.0,249.0,298.0,371.0,422.0,486.0,544.0,603.0
unfilled_spots,724.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,33.0,61.0,104.0,175.0,265.0,317.0,377.0,412.0,510.0,540.0,579.0
unfilled_spots,726.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,35.0,69.0,153.0,191.0,233.0,313.0,367.0,448.0,501.0,548.0,591.0
unfilled_spots,735.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,35.0,65.0,136.0,182.0,256.0,320.0,369.0,428.0,515.0,558.0,587.0
unfilled_spots,721.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,26.0,84.0,115.0,187.0,260.0,307.0,359.0,427.0,493.0,522.0,609.0
unfilled_spots,743.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,60.0,111.0,184.0,266.0,291.0,362.0,423.0,474.0,569.0,609.0
unfilled_spots,724.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,33.0,61.0,99.0,199.0,244.0,306.0,383.0,418.0,474.0,543.0,615.0
unfilled_spots,737.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,39.0,78.0,115.0,185.0,260.0,309.0,345.0,452.0,472.0,539.0,601.0
unfilled_spots,737.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,42.0,77.0,130.0,200.0,246.0,316.0,364.0,427.0,505.0,535.0,594.0
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,216.509900990099,197.9529702970297,158.69306930693068,116.0519801980198,95.35148514851485,98.27475247524752,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,217.90841584158414,203.8118811881188,154.0618811881188,115.25742574257426,96.86881188118812,98.88118811881188,105.75,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,215.20792079207922,196.740099009901,155.509900990099,111.45544554455445,100.28465346534654,98.04455445544555,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,217.07920792079207,196.11633663366337,158.34653465346534,113.22524752475248,95.74257425742574,98.47277227722772,105.76732673267327,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,216.25247524752476,201.8118811881188,156.53960396039605,110.22029702970298,93.66584158415841,98.85148514851485,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,217.12623762376236,200.1039603960396,155.6881188118812,112.39851485148515,95.56683168316832,97.36633663366337,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,216.91831683168317,200.87871287128712,158.4480198019802,110.5,96.06435643564356,98.5519801980198,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,216.63118811881188,200.61633663366337,157.61633663366337,113.3069306930693,97.99009900990099,97.96534653465346,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,217.53465346534654,201.20544554455446,157.5148514851485,112.92821782178218,94.92574257425743,98.54950495049505,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
reviews_per_program,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,219.0742574257426,217.0519801980198,196.88861386138615,153.77227722772278,112.84653465346534,95.67821782178218,98.47524752475248,105.48019801980197,113.5940594059406,121.70792079207921,129.82178217821783,137.93564356435644,146.04950495049505,154.16336633663366,162.27722772277227,170.3910891089109,178.5049504950495,186.61881188118812,194.73267326732673
pct_interview_given_signal,0.0,1.0213544844417328,1.0187614399023794,1.0153548911938173,1.0132702867602197,1.0106162294081757,1.007423225544031,1.0054039919811733,0.9955003050640635,0.9671886651752424,0.9075350823672972,0.8382883132730601,0.7700325401667684,0.7110339325104426,0.6602457944739824,0.6162294081757169,0.5777150701647346,0.5437318307432796,0.5135245068130975,0.48649690119135547,0.4621720561317877,0.4401638629826549,0.42015641466526155,0.40188874446242406,0.3851433801098231
pct_interview_given_signal,0.0,1.0183038438071994,1.0170835875533861,1.0152532031726662,1.013575350823673,1.010189139719341,1.007880821639211,1.0045323803713067,0.9970637583892618,0.9667141210765372,0.9088773642464918,0.8379832492096068,0.7698800081350416,0.7110104660440231,0.6602457944739824,0.6162294081757169,0.5777150701647346,0.5437318307432796,0.5135245068130975,0.48649690119135547,0.4621720561317877,0.4401638629826549,0.42015641466526155,0.40188874446242406,0.3851433801098231
pct_interview_given_signal,0.0,1.0176937156802928,1.0202867602196461,1.0138295708765508,1.0147193410616229,1.0120805369127517,1.0086434817978442,1.0051860890787065,0.9957672361195851,0.9674259372245949,0.9092129347162904,0.8369016584391813,0.7701342281879194,0.7110339325104426,0.6602457944739824,0.6162294081757169,0.5777150701647346,0.5437318307432796,0.5135245068130975,0.48649690119135547,0.4621720561317877,0.4401638629826549,0.42015641466526155,0.40188874446242406,0.3851433801098231
pct_interview_given_signal,0.0,1.0179987797437462,1.0202867602196461,1.016981899532235,1.0102959121415498,1.0098840756558878,1.0084909497661176,1.0048810250152531,0.9931741915802319,0.9673242492034438,0.9079011592434412,0.8384269787564479,0.769727476103315,0.7110104660440231,0.6602457944739824,0.6162294081757169,0.5777150701647346,0.5437318307432796,0.5135245068130975,0.48649690119135547,0.4621720561317877,0.4401638629826549,0.42015641466526155,0.40188874446242406,0.3851433801098231
pct_interview_given_signal,0.0,1.0201342281879195,1.0181513117754728,1.0151515151515151,1.0125076266015864,1.0103111653447223,1.007626601586333,1.0037479299224266,0.996911226357535,0.966239576977832,0.9092434411226358,0.8387597759165788,0.7697020540980273,0.7110339325104426,0.6602457944739824,0.6162294081757169,0.5777150701647346,0.5437318307432796,0.5135245068130975,0.48649690119135547,0.4621720561317877,0.4401638629826549,0.42015641466526155,0.40188874446242406,0.3851433801098231
