Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
unfilled_spots,139.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,6.0,10.0,27.0,24.0,37.0,44.0,55.0,57.0,74.0,77.0,76.0,84.0,96.0,97.0,102.0,105.0,100.0,110.0,116.0,120.0,116.0,122.0,125.0,135.0,134.0,133.0,143.0
unfilled_spots,145.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,11.0,21.0,20.0,44.0,44.0,46.0,51.0,64.0,77.0,86.0,76.0,85.0,101.0,96.0,97.0,94.0,113.0,107.0,115.0,124.0,119.0,133.0,132.0,138.0,140.0,141.0
unfilled_spots,140.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,14.0,25.0,31.0,47.0,44.0,51.0,57.0,61.0,69.0,76.0,83.0,84.0,93.0,92.0,97.0,103.0,115.0,112.0,120.0,128.0,127.0,130.0,135.0,128.0,137.0,135.0
unfilled_spots,140.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,16.0,20.0,33.0,34.0,48.0,49.0,61.0,61.0,69.0,77.0,76.0,89.0,97.0,90.0,104.0,104.0,102.0,113.0,121.0,120.0,114.0,127.0,132.0,133.0,141.0,140.0
unfilled_spots,138.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,10.0,20.0,34.0,34.0,40.0,49.0,54.0,56.0,66.0,70.0,81.0,84.0,82.0,88.0,94.0,110.0,101.0,112.0,117.0,117.0,126.0,118.0,128.0,137.0,137.0,138.0,133.0
unfilled_spots,141.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,11.0,16.0,18.0,29.0,37.0,45.0,57.0,65.0,66.0,79.0,83.0,85.0,89.0,82.0,96.0,101.0,104.0,110.0,104.0,113.0,108.0,122.0,124.0,130.0,135.0,137.0,132.0
unfilled_spots,145.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,19.0,15.0,30.0,40.0,41.0,54.0,49.0,61.0,72.0,74.0,80.0,87.0,94.0,94.0,102.0,99.0,121.0,110.0,122.0,124.0,123.0,133.0,128.0,133.0,138.0,141.0
unfilled_spots,138.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,8.0,17.0,18.0,31.0,38.0,45.0,46.0,57.0,63.0,69.0,70.0,79.0,83.0,91.0,108.0,101.0,109.0,112.0,109.0,113.0,121.0,125.0,131.0,135.0,132.0,134.0,140.0
unfilled_spots,148.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,17.0,21.0,25.0,31.0,30.0,37.0,50.0,57.0,62.0,69.0,67.0,84.0,90.0,89.0,99.0,101.0,107.0,109.0,112.0,118.0,128.0,124.0,126.0,132.0,131.0,136.0,138.0
unfilled_spots,141.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,11.0,19.0,24.0,32.0,31.0,53.0,59.0,60.0,68.0,63.0,77.0,86.0,93.0,91.0,94.0,110.0,102.0,112.0,119.0,111.0,126.0,126.0,127.0,135.0,132.0,137.0,136.0
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,152.1900826446281,142.31404958677686,116.52892561983471,90.52066115702479,68.01652892561984,57.65289256198347,51.28099173553719,49.06611570247934,48.09090909090909,52.80165289256198,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,141.13223140495867,122.2396694214876,85.94214876033058,67.80165289256199,58.84297520661157,50.51239669421488,47.96694214876033,49.917355371900825,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,152.20661157024793,141.49586776859505,117.3305785123967,87.29752066115702,66.79338842975207,57.09090909090909,54.17355371900826,46.239669421487605,50.6198347107438,51.99173553719008,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,151.25619834710744,145.67768595041323,124.23140495867769,90.42148760330579,68.57851239669421,53.11570247933884,55.239669421487605,50.05785123966942,48.96694214876033,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,152.27272727272728,144.84297520661158,125.55371900826447,86.2396694214876,67.90082644628099,57.611570247933884,54.56198347107438,49.0,48.36363636363637,52.87603305785124,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,151.15702479338842,140.3388429752066,122.39669421487604,99.99173553719008,68.38842975206612,58.768595041322314,49.917355371900825,51.88429752066116,49.289256198347104,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,152.35537190082644,143.6611570247934,115.0909090909091,97.10743801652893,65.83471074380165,53.396694214876035,46.66115702479339,47.603305785123965,49.22314049586777,51.14049586776859,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,150.1404958677686,142.50413223140495,121.69421487603306,90.86776859504133,66.2396694214876,54.19834710743802,56.256198347107436,48.289256198347104,47.20661157024794,51.94214876033058,55.074380165289256,59.8099173553719,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,142.69421487603304,118.79338842975207,91.3801652892562,65.93388429752066,58.20661157024794,53.84297520661157,48.099173553719005,52.54545454545455,52.611570247933884,55.93388429752066,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
reviews_per_program,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,153.4214876033058,141.55371900826447,112.61157024793388,91.45454545454545,64.89256198347107,59.03305785123967,52.66115702479339,50.082644628099175,49.09090909090909,51.96694214876033,55.074380165289256,59.00826446280992,62.94214876033058,66.87603305785125,70.8099173553719,74.74380165289256,78.67768595041322,82.61157024793388,86.54545454545455,90.47933884297521,94.41322314049587,98.34710743801652,102.28099173553719,106.21487603305785,110.14876033057851,114.08264462809917,118.01652892561984,121.9504132231405,125.88429752066116,129.8181818181818,133.7520661157025,137.68595041322314,141.6198347107438,145.55371900826447,149.48760330578511
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9907563025210084,0.9688375350140056,0.9273709483793517,0.8453256302521008,0.7843137254901961,0.7195378151260504,0.6627196333078686,0.6095938375350141,0.5620555914673562,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9915966386554622,0.9775910364145658,0.9246698679471789,0.8500525210084033,0.788515406162465,0.7222689075630252,0.6606187929717342,0.6067927170868347,0.5630252100840336,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9953781512605042,0.9632352941176471,0.9246698679471789,0.8484768907563025,0.7833800186741363,0.7184873949579832,0.6638655462184874,0.6083683473389355,0.562863606981254,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9989495798319328,0.9957983193277311,0.9737394957983193,0.9246698679471789,0.8442752100840336,0.7866479925303455,0.7195378151260504,0.6594728800611154,0.6076680672268907,0.5630252100840336,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9941176470588236,0.9726890756302521,0.918967587034814,0.8474264705882353,0.7868814192343604,0.7159663865546219,0.6611917494270435,0.6092436974789915,0.5612475759534583,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9994747899159664,0.9907563025210084,0.9716386554621849,0.9177671068427371,0.8539915966386554,0.7854808590102708,0.7235294117647059,0.6606187929717342,0.6078431372549019,0.5630252100840336,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9932773109243698,0.961484593837535,0.9159663865546218,0.8658088235294118,0.7850140056022409,0.7218487394957983,0.6610007639419404,0.6090686274509803,0.5630252100840336,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,0.9994747899159664,0.9882352941176471,0.9705882352941176,0.9084633853541416,0.8534663865546218,0.784780578898226,0.7119747899159664,0.6608097784568373,0.6099439775910365,0.5618939883645766,0.5228091236494598,0.48781512605042016,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.988655462184874,0.9695378151260504,0.9174669867947179,0.8529411764705882,0.7889822595704948,0.7197478991596639,0.6634835752482812,0.6064425770308123,0.5627020038784745,0.522358943577431,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_signal,0.0,1.0,1.0,1.0,1.0,0.9899159663865547,0.9590336134453782,0.9216686674669868,0.8503151260504201,0.7838468720821662,0.7178571428571429,0.6602368220015279,0.6088935574229691,0.5623787976729153,0.5228091236494598,0.4879551820728291,0.4574579831932773,0.430548690064261,0.4066293183940243,0.38522777532065455,0.3659663865546218,0.34853941576630654,0.3326967150496562,0.31823164048227987,0.30497198879551823,0.2927731092436975,0.2815126050420168,0.27108621226268287,0.2614045618247299,0.2523906114169806,0.24397759103641456,0.23610734616427215,0.22872899159663865,0.22179781003310414,0.2152743450321305,0.2091236494597839,0.20331465919701214,0.19781966840790371,0.19261388766032728
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09483793517406963,0.06957488877904103,0.045645530939648585,0.02586659663865546,0.017958796421794525,0.008683473389355743,0.004274123442480441,0.0010504201680672268,0.0001556178026766262,0.0004848093083387201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09483793517406963,0.069451309935739,0.04405398523045582,0.026457457983193277,0.016738953645974518,0.00742296918767507,0.003332367429730513,0.001875750300120048,0.0014005602240896359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09483793517406963,0.06889520514087988,0.04666412019353196,0.026457457983193277,0.017145567904581188,0.008963585434173669,0.004636337293538105,0.0006002400960384153,0.0007002801120448179,8.080155138978668e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.0949579831932773,0.06883341571922887,0.04475426534250063,0.026457457983193277,0.01822987259419897,0.007983193277310924,0.004274123442480441,0.0023259303721488594,0.0010115157173980704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09483793517406963,0.06908057340583292,0.04494525082760377,0.027704831932773108,0.01741664407698563,0.007913165266106442,0.0055056505360765,0.0016506602641056423,0.0003112356053532524,0.0008888170652876535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09489795918367347,0.06957488877904103,0.0451362363127069,0.027967436974789917,0.01572241799945785,0.008333333333333333,0.0028977108084613156,0.001875750300120048,0.0009337068160597573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09483793517406963,0.06920415224913495,0.046982429335370515,0.028361344537815126,0.012672811059907835,0.008473389355742296,0.0034772529701535787,0.0017256902761104442,0.0003890445066915655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09489795918367347,0.0699456253089471,0.045327221797810034,0.03000262605042017,0.01585795608566007,0.008543417366946778,0.006882063170095624,0.001800720288115246,0.0,0.0005656108597285068,0.0,8.753501400560224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09483793517406963,0.06988383588729609,0.04551820728291316,0.02803308823529412,0.015993494171862292,0.007282913165266107,0.004201680672268907,0.0007503001200480192,0.001556178026766262,0.00016160310277957336,0.00025210084033613445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.1876750700280112,0.16629809818664307,0.14376561435384966,0.11998132586367881,0.09483793517406963,0.06969846762234305,0.04742806213394449,0.027113970588235295,0.016671184602873406,0.008823529411764706,0.004853665604172703,0.002025810324129652,0.00046685340802987864,0.0003232062055591467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
