Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
reviews_per_program,562.8131868131868,539.4175824175824,92.0989010989011,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373
reviews_per_program,562.8131868131868,544.3956043956044,104.76923076923077,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373
reviews_per_program,562.8131868131868,533.4615384615385,64.41758241758242,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373
reviews_per_program,562.8131868131868,545.1648351648352,92.58241758241758,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373
reviews_per_program,562.8131868131868,556.9230769230769,81.48351648351648,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373
reviews_per_program,562.8131868131868,550.7252747252747,92.38461538461539,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901,445.56043956043953,469.010989010989,492.46153846153845,515.9120879120879,539.3626373626373
pct_interview_given_signal,0.0,0.9995313964386129,0.7656982193064668,0.5135895032802249,0.3851921274601687,0.30815370196813496,0.25679475164011245,0.2201097871200964,0.19259606373008434,0.1711965010934083,0.15407685098406748,0.14006986453097042,0.12839737582005623,0.11852065460312883,0.1100548935600482,0.10271790065604498,0.09629803186504217,0.0906334417553338,0.08559825054670415,0.08109307946529867,0.07703842549203374,0.07336992904003213,0.07003493226548521,0.06698993521046412
pct_interview_given_signal,0.0,0.9967197750702905,0.764058106841612,0.5135895032802249,0.3851921274601687,0.30815370196813496,0.25679475164011245,0.2201097871200964,0.19259606373008434,0.1711965010934083,0.15407685098406748,0.14006986453097042,0.12839737582005623,0.11852065460312883,0.1100548935600482,0.10271790065604498,0.09629803186504217,0.0906334417553338,0.08559825054670415,0.08109307946529867,0.07703842549203374,0.07336992904003213,0.07003493226548521,0.06698993521046412
pct_interview_given_signal,0.0,0.9976569821930646,0.7612464854732895,0.5135895032802249,0.3851921274601687,0.30815370196813496,0.25679475164011245,0.2201097871200964,0.19259606373008434,0.1711965010934083,0.15407685098406748,0.14006986453097042,0.12839737582005623,0.11852065460312883,0.1100548935600482,0.10271790065604498,0.09629803186504217,0.0906334417553338,0.08559825054670415,0.08109307946529867,0.07703842549203374,0.07336992904003213,0.07003493226548521,0.06698993521046412
pct_interview_given_signal,0.0,0.9990627928772259,0.7617150890346767,0.5135895032802249,0.3851921274601687,0.30815370196813496,0.25679475164011245,0.2201097871200964,0.19259606373008434,0.1711965010934083,0.15407685098406748,0.14006986453097042,0.12839737582005623,0.11852065460312883,0.1100548935600482,0.10271790065604498,0.09629803186504217,0.0906334417553338,0.08559825054670415,0.08109307946529867,0.07703842549203374,0.07336992904003213,0.07003493226548521,0.06698993521046412
