Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,123.83453237410072,110.66906474820144,71.0431654676259,43.66187050359712,32.093525179856115,31.769784172661872,35.7410071942446,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,125.44604316546763,109.60431654676259,69.89208633093526,40.76978417266187,32.07194244604317,32.42446043165467,35.7410071942446,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,124.61870503597122,104.84892086330935,68.16546762589928,44.669064748201436,31.43884892086331,32.460431654676256,35.7410071942446,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,126.27338129496403,104.82014388489209,64.46762589928058,41.64028776978417,29.81294964028777,32.43884892086331,36.330935251798564,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,123.66906474820144,109.0863309352518,70.12230215827338,45.73381294964029,33.66187050359712,31.769784172661872,36.44604316546763,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,125.23021582733813,110.30935251798562,71.05755395683454,45.92086330935252,31.402877697841728,33.10071942446043,35.7410071942446,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,126.18705035971223,106.33812949640287,70.9136690647482,41.79136690647482,33.33812949640288,32.992805755395686,35.7410071942446,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
reviews_per_program,127.07913669064749,127.07913669064749,127.07913669064749,126.33093525179856,106.60431654676259,70.18705035971223,41.33812949640288,31.302158273381295,32.37410071942446,35.7410071942446,39.71223021582734,43.68345323741007,47.65467625899281,51.62589928057554,55.597122302158276,59.568345323741006,63.539568345323744,67.51079136690647,71.4820143884892,75.45323741007195,79.42446043165468,83.39568345323741,87.36690647482014,91.33812949640287,95.30935251798562,99.28057553956835,103.25179856115108,107.22302158273381,111.19424460431655,115.16546762589928
pct_interview_given_signal,0.0,1.0181159420289856,1.0244565217391304,1.0096618357487923,0.9827898550724637,0.9105072463768116,0.8191425120772947,0.7166149068322981,0.6288496376811594,0.5595813204508857,0.5036231884057971,0.45783926218708826,0.4196859903381642,0.3874024526198439,0.35973084886128365,0.3357487922705314,0.31476449275362317,0.29624893435635125,0.27979066022544286,0.2650648360030511,0.25181159420289856,0.23982056590752243,0.22891963109354413,0.2189666036546944,0.2098429951690821,0.20144927536231885,0.19370122630992195,0.18652710681696189,0.17986542443064182,0.1736631684157921
pct_interview_given_signal,0.0,1.036231884057971,1.0253623188405796,1.0169082125603865,0.9877717391304348,0.9213768115942029,0.8170289855072463,0.7124741200828157,0.6281702898550725,0.5595813204508857,0.5036231884057971,0.45783926218708826,0.4196859903381642,0.3874024526198439,0.35973084886128365,0.3357487922705314,0.31476449275362317,0.29624893435635125,0.27979066022544286,0.2650648360030511,0.25181159420289856,0.23982056590752243,0.22891963109354413,0.2189666036546944,0.2098429951690821,0.20144927536231885,0.19370122630992195,0.18652710681696189,0.17986542443064182,0.1736631684157921
pct_interview_given_signal,0.0,1.0416666666666667,1.0144927536231885,1.0132850241545894,0.9918478260869565,0.9134057971014493,0.8125,0.7140269151138716,0.6295289855072463,0.5595813204508857,0.5036231884057971,0.45783926218708826,0.4196859903381642,0.3874024526198439,0.35973084886128365,0.3357487922705314,0.31476449275362317,0.29624893435635125,0.27979066022544286,0.2650648360030511,0.25181159420289856,0.23982056590752243,0.22891963109354413,0.2189666036546944,0.2098429951690821,0.20144927536231885,0.19370122630992195,0.18652710681696189,0.17986542443064182,0.1736631684157921
pct_interview_given_signal,0.0,1.039855072463768,1.0181159420289856,1.0138888888888888,0.9873188405797102,0.9206521739130434,0.8218599033816425,0.7166149068322981,0.6290760869565217,0.5595813204508857,0.5036231884057971,0.45783926218708826,0.4196859903381642,0.3874024526198439,0.35973084886128365,0.3357487922705314,0.31476449275362317,0.29624893435635125,0.27979066022544286,0.2650648360030511,0.25181159420289856,0.23982056590752243,0.22891963109354413,0.2189666036546944,0.2098429951690821,0.20144927536231885,0.19370122630992195,0.18652710681696189,0.17986542443064182,0.1736631684157921
pct_interview_given_signal,0.0,1.019927536231884,1.0271739130434783,1.0072463768115942,0.9769021739130435,0.9206521739130434,0.8128019323671497,0.7148033126293996,0.6288496376811594,0.5595813204508857,0.5036231884057971,0.45783926218708826,0.4196859903381642,0.3874024526198439,0.35973084886128365,0.3357487922705314,0.31476449275362317,0.29624893435635125,0.27979066022544286,0.2650648360030511,0.25181159420289856,0.23982056590752243,0.22891963109354413,0.2189666036546944,0.2098429951690821,0.20144927536231885,0.19370122630992195,0.18652710681696189,0.17986542443064182,0.1736631684157921
pct_interview_given_signal,0.0,1.0126811594202898,1.0108695652173914,1.0108695652173914,0.9923007246376812,0.9217391304347826,0.8158212560386473,0.717391304347826,0.629302536231884,0.5593800322061192,0.5036231884057971,0.45783926218708826,0.4196859903381642,0.3874024526198439,0.35973084886128365,0.3357487922705314,0.31476449275362317,0.29624893435635125,0.27979066022544286,0.2650648360030511,0.25181159420289856,0.23982056590752243,0.22891963109354413,0.2189666036546944,0.2098429951690821,0.20144927536231885,0.19370122630992195,0.18652710681696189,0.17986542443064182,0.1736631684157921
