,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.2998500388500388,0.3290683760683761,0.17406993006993002,0.1072486402486402,0.08976301476301476,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.290997668997669,0.252954156954157,0.22258818958818957,0.12805982905982904,0.10540015540015539,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.16502564102564096,0.15271095571095566,0.12927738927738922,0.18683216783216777,0.18468337218337222,0.07041763791763793,0.08848912198912201,0.022563714063714064,0.0,0.0
prog_cut_4,0.056121212121212134,0.0540021645021645,0.12508585858585852,0.21851443001442994,0.24522655122655126,0.12043650793650794,0.11341774891774892,0.06719552669552671,0.0,0.0
prog_cut_5,0.06911344211344213,0.05101243201243202,0.13534537684537684,0.18030069930069928,0.1805955710955711,0.13028321678321675,0.14477428127428124,0.07861227661227663,0.012578865578865579,0.017383838383838387
prog_cut_6,0.0,0.0,0.040321289821289824,0.05338622488622489,0.053423243423243436,0.22618148518148515,0.22501626151626147,0.16285442335442332,0.10957736707736704,0.1292397047397047
prog_cut_7,0.0,0.0,0.03649350649350649,0.06852020202020202,0.07944155844155847,0.19044300144300141,0.18744805194805192,0.1604949494949495,0.15160461760461755,0.12555411255411253
prog_cut_8,0.0,0.0,0.00827006327006327,0.02527078477078477,0.03096003996003996,0.15017382617382613,0.1022390387390387,0.19302713952713943,0.24779204129204122,0.24226706626706626
prog_cut_9,0.0,0.0,0.0,0.0,0.0,0.09705061605061605,0.07213802863802864,0.17771411921411917,0.3093219558219558,0.3437752802752803
prog_cut_10,0.0,0.0,0.0,0.0,0.0,0.1338203463203463,0.08404906204906207,0.2083650793650793,0.3017561327561328,0.2720093795093795
