,app_cut_1,app_cut_2,app_cut_3,app_cut_4,app_cut_5,app_cut_6,app_cut_7,app_cut_8,app_cut_9,app_cut_10
prog_cut_1,0.3472521236796821,0.32525622701568196,0.1879882677831788,0.06694637803592197,0.07255700348553522,0.0,0.0,0.0,0.0,0.0
prog_cut_2,0.3180771153495292,0.33149562825424894,0.2105446268929028,0.06865537591399662,0.07122725358932257,0.0,0.0,0.0,0.0,0.0
prog_cut_3,0.17257302289026427,0.20225948240775832,0.17522491684560648,0.183364489916214,0.16633833522799044,0.039634735379562976,0.04102905140836175,0.01957596592424178,0.0,0.0
prog_cut_4,0.062075925224201106,0.08572611398818297,0.17243051520637728,0.25405239639032745,0.241785098171305,0.08288367647677992,0.06948154182981771,0.03156473271300858,0.0,0.0
prog_cut_5,0.06887477018511504,0.0683347887106508,0.14900344266206336,0.2305757778619847,0.23258937728937729,0.08921524006006765,0.09563861451447658,0.05232652239203965,0.005964835164835164,0.007476631159389779
prog_cut_6,0.0,0.0,0.038237219485495355,0.08922720587203345,0.07070478716685616,0.2461676448710931,0.2540883962780515,0.1620863753105132,0.07453975551906589,0.06494861549689138
prog_cut_7,0.0,0.0,0.04012790619342344,0.07112675115433735,0.06991237702272185,0.2581954570333881,0.2678191584915722,0.15898461959496443,0.06384367675746985,0.06999005375212274
prog_cut_8,0.0,0.0,0.01951282051282051,0.0333897028897029,0.02760948310948311,0.144791010904804,0.16151747294850743,0.18198856188511364,0.20562278360209396,0.2255681641474745
prog_cut_9,0.0,0.0,0.0,0.0,0.0,0.07274776296912004,0.07158206296237442,0.19357795873224123,0.34111904236742935,0.3209731729688348
prog_cut_10,0.0,0.0,0.0,0.0,0.0,0.06249189145629635,0.063733135084748,0.18875023254255727,0.35291009868062145,0.33211464223577686
