Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,545.0,547.0,550.0,550.0,558.0,557.0,558.0,559.0,562.0,580.0,575.0,584.0,582.0,587.0,592.0,600.0,600.0,607.0,608.0,608.0,607.0,614.0,623.0,622.0,636.0,642.0,648.0,648.0
unmatched_applicants,652.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,545.0,548.0,555.0,546.0,550.0,558.0,559.0,560.0,567.0,571.0,572.0,574.0,581.0,586.0,590.0,598.0,602.0,605.0,610.0,608.0,613.0,613.0,618.0,617.0,628.0,627.0,638.0,638.0,647.0
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,546.0,546.0,547.0,550.0,552.0,550.0,554.0,558.0,564.0,561.0,567.0,574.0,577.0,581.0,583.0,590.0,591.0,603.0,597.0,604.0,605.0,605.0,612.0,614.0,618.0,623.0,632.0,635.0,642.0,652.0
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,545.0,543.0,551.0,556.0,552.0,554.0,561.0,558.0,564.0,566.0,574.0,581.0,585.0,585.0,592.0,595.0,599.0,600.0,607.0,609.0,607.0,615.0,611.0,621.0,629.0,628.0,640.0,645.0,649.0
unmatched_applicants,654.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,545.0,544.0,545.0,549.0,553.0,556.0,561.0,560.0,559.0,558.0,568.0,569.0,573.0,577.0,584.0,588.0,593.0,600.0,605.0,607.0,611.0,614.0,604.0,616.0,614.0,625.0,627.0,638.0,642.0,652.0
unmatched_applicants,653.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,544.0,548.0,551.0,554.0,552.0,563.0,557.0,568.0,571.0,572.0,575.0,582.0,587.0,590.0,599.0,599.0,603.0,604.0,613.0,610.0,611.0,611.0,620.0,620.0,634.0,634.0,648.0,647.0
unmatched_applicants,657.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,545.0,544.0,543.0,549.0,554.0,549.0,554.0,556.0,560.0,565.0,563.0,570.0,573.0,579.0,585.0,591.0,593.0,602.0,599.0,605.0,614.0,615.0,607.0,612.0,619.0,624.0,632.0,640.0,642.0,651.0
unmatched_applicants,658.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,542.0,543.0,543.0,547.0,551.0,551.0,556.0,557.0,556.0,559.0,564.0,567.0,566.0,577.0,575.0,579.0,587.0,593.0,599.0,604.0,604.0,607.0,607.0,611.0,616.0,622.0,618.0,628.0,636.0,644.0,649.0
unmatched_applicants,657.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,543.0,550.0,548.0,553.0,551.0,561.0,558.0,561.0,560.0,566.0,565.0,573.0,584.0,585.0,589.0,591.0,599.0,607.0,605.0,608.0,609.0,607.0,611.0,616.0,629.0,632.0,642.0,642.0,648.0
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,545.0,545.0,553.0,550.0,553.0,557.0,560.0,560.0,568.0,566.0,567.0,576.0,577.0,582.0,589.0,596.0,600.0,603.0,607.0,607.0,609.0,609.0,616.0,618.0,624.0,631.0,642.0,647.0,656.0
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,542.0,545.0,545.0,548.0,551.0,558.0,555.0,561.0,557.0,566.0,570.0,571.0,582.0,587.0,586.0,597.0,599.0,603.0,603.0,606.0,606.0,615.0,620.0,620.0,626.0,634.0,645.0,642.0,648.0
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,544.0,544.0,549.0,548.0,556.0,552.0,555.0,560.0,566.0,569.0,573.0,579.0,588.0,584.0,585.0,594.0,599.0,608.0,603.0,608.0,606.0,621.0,613.0,621.0,623.0,631.0,638.0,649.0,652.0
unmatched_applicants,657.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,544.0,542.0,545.0,545.0,551.0,550.0,550.0,553.0,558.0,558.0,562.0,563.0,572.0,568.0,578.0,580.0,590.0,595.0,599.0,606.0,600.0,606.0,616.0,611.0,613.0,621.0,620.0,636.0,635.0,643.0,649.0
unmatched_applicants,656.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,544.0,550.0,545.0,550.0,551.0,553.0,556.0,558.0,561.0,564.0,570.0,576.0,580.0,584.0,590.0,596.0,600.0,605.0,603.0,607.0,607.0,611.0,619.0,615.0,624.0,633.0,638.0,649.0,650.0
unmatched_applicants,661.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,545.0,545.0,550.0,551.0,553.0,558.0,554.0,554.0,563.0,571.0,567.0,571.0,584.0,584.0,589.0,594.0,600.0,600.0,608.0,605.0,605.0,615.0,617.0,619.0,628.0,633.0,636.0,643.0,648.0
unmatched_applicants,657.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,549.0,545.0,548.0,547.0,557.0,555.0,553.0,558.0,564.0,561.0,571.0,573.0,579.0,588.0,595.0,593.0,600.0,599.0,600.0,612.0,611.0,605.0,618.0,620.0,627.0,633.0,634.0,642.0,646.0
unmatched_applicants,655.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,546.0,545.0,552.0,550.0,554.0,551.0,557.0,561.0,560.0,570.0,572.0,573.0,579.0,586.0,586.0,592.0,599.0,601.0,602.0,609.0,611.0,612.0,609.0,616.0,624.0,632.0,642.0,644.0,650.0
unmatched_applicants,651.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,542.0,542.0,544.0,546.0,546.0,550.0,556.0,552.0,555.0,562.0,561.0,564.0,575.0,578.0,581.0,589.0,587.0,594.0,602.0,606.0,607.0,606.0,614.0,610.0,609.0,620.0,630.0,631.0,644.0,645.0,651.0
unmatched_applicants,661.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,549.0,546.0,548.0,552.0,552.0,558.0,557.0,560.0,566.0,565.0,572.0,569.0,577.0,585.0,590.0,594.0,599.0,603.0,606.0,613.0,604.0,611.0,614.0,618.0,623.0,634.0,637.0,648.0,654.0
unmatched_applicants,658.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,543.0,543.0,546.0,550.0,556.0,554.0,558.0,556.0,560.0,571.0,568.0,578.0,579.0,586.0,595.0,593.0,599.0,600.0,604.0,610.0,615.0,612.0,613.0,620.0,623.0,633.0,642.0,647.0,653.0
