n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,applicants_per_position,minimum_unmatched,spots_per_program,simulations_per_s,study_min_signal,study_max_signal,result_file_prefix,best_signal_rpp,reviews_per_program_best_rpp,unmatched_applicants_best_rpp,unfilled_spots_best_rpp,pct_interview_given_signal_best_rpp,pct_interview_given_nosignal_best_rpp,pct_interview_given_application_best_rpp,best_signal_ua,reviews_per_program_best_ua,unmatched_applicants_best_ua,unfilled_spots_best_ua,pct_interview_given_signal_best_ua,pct_interview_given_nosignal_best_ua,pct_interview_given_application_best_ua,best_signal_ufs,reviews_per_program_best_ufs,unmatched_applicants_best_ufs,unfilled_spots_best_ufs,pct_interview_given_signal_best_ufs,pct_interview_given_nosignal_best_ufs,pct_interview_given_application_best_ufs,best_signal_pigs,reviews_per_program_best_pigs,unmatched_applicants_best_pigs,unfilled_spots_best_pigs,pct_interview_given_signal_best_pigs,pct_interview_given_nosignal_best_pigs,pct_interview_given_application_best_pigs,best_signal_pigns,reviews_per_program_best_pigns,unmatched_applicants_best_pigns,unfilled_spots_best_pigns,pct_interview_given_signal_best_pigns,pct_interview_given_nosignal_best_pigns,pct_interview_given_application_best_pigns,best_signal_piga,reviews_per_program_best_piga,unmatched_applicants_best_piga,unfilled_spots_best_piga,pct_interview_given_signal_best_piga,pct_interview_given_nosignal_best_piga,pct_interview_given_application_best_piga
172,6629,14514,15,36,2.1894705083723034,7885,38,20,3,33,heatmap_np172_npos6629_napp14514_ips15_max_app36,8,675.0697674418604,7978.0,0.0,0.8443571723852832,0.0,0.1876349271967296,3,3037.8139534883726,7978.0,0.0,1.0,0.11378355694188684,0.1876349271967296,3,3037.8139534883726,7978.0,0.0,1.0,0.11378355694188684,0.1876349271967296,3,3037.8139534883726,7978.0,0.0,1.0,0.11378355694188684,0.1876349271967296,3,3037.8139534883726,7978.0,0.0,1.0,0.11378355694188684,0.1876349271967296,3,3037.8139534883726,7978.0,0.0,1.0,0.11378355694188684,0.1876349271967296
615,4358,8667,10,5,1.9887563102340524,4309,7,20,3,4,heatmap_np615_npos4358_napp8667_ips10_max_app5,4,69.82650406504064,4362.0,0.0,0.9976707626629745,0.7580189223491406,0.9497403946002076,3,70.46341463414635,4362.0,0.0,1.0,0.8757240106149764,0.9502896042459905,3,70.46341463414635,4362.0,0.0,1.0,0.8757240106149764,0.9502896042459905,3,70.46341463414635,4362.0,0.0,1.0,0.8757240106149764,0.9502896042459905,3,70.46341463414635,4362.0,0.0,1.0,0.8757240106149764,0.9502896042459905,3,70.46341463414635,4362.0,0.0,1.0,0.8757240106149764,0.9502896042459905
535,9251,10042,20,21,1.0855042698086694,791,17,20,3,18,heatmap_np535_npos9251_napp10042_ips20_max_app21,18,368.35130841121486,947.0,0.0,0.9820465157449823,0.14555865365465046,0.8625482497320777,4,394.17196261682244,947.0,0.0,1.0,0.8301835233197042,0.8625295188778559,4,394.17196261682244,947.0,0.0,1.0,0.8301835233197042,0.8625295188778559,3,394.17196261682244,947.1,0.1,1.0,0.8396310495917149,0.8625408996500411,3,394.17196261682244,947.1,0.1,1.0,0.8396310495917149,0.8625408996500411,5,394.17196261682244,947.15,0.15,1.0,0.8196020464050985,0.8625539401181703
290,1658,4230,5,53,2.551266586248492,2572,5,20,3,40,heatmap_np290_npos1658_napp4230_ips5_max_app53,3,44.37586206896551,2780.8,0.8,0.5712805358550038,2.1276595744680853e-06,0.03233864133101386,4,58.344827586206904,2780.1,0.1,0.4284869976359339,0.0,0.03233864133101386,4,58.344827586206904,2780.1,0.1,0.4284869976359339,0.0,0.03233864133101386,3,44.37586206896551,2780.8,0.8,0.5712805358550038,2.1276595744680853e-06,0.03233864133101386,3,44.37586206896551,2780.8,0.8,0.5712805358550038,2.1276595744680853e-06,0.03233864133101386,3,44.37586206896551,2780.8,0.8,0.5712805358550038,2.1276595744680853e-06,0.03233864133101386
356,7546,4951,7,60,0.6561091969255235,0,21,20,3,40,heatmap_np356_npos7546_napp4951_ips7_max_app60,13,182.4619382022472,164.4,2689.4,0.8130245638021846,1.418153220711913e-05,0.1761664310240355,4,834.4382022471912,0.0,2525.0,1.0,0.11732117609718093,0.1761664310240355,4,834.4382022471912,0.0,2525.0,1.0,0.11732117609718093,0.1761664310240355,3,834.4382022471912,48.05,2573.05,1.0,0.13280676949898482,0.1761664310240355,3,834.4382022471912,48.05,2573.05,1.0,0.13280676949898482,0.1761664310240355,3,834.4382022471912,48.05,2573.05,1.0,0.13280676949898482,0.1761664310240355
748,5173,501,12,13,0.0968490237773052,0,6,20,3,10,heatmap_np748_npos5173_napp501_ips12_max_app13,3,8.7072192513369,0.0,3987.0,1.0,1.0,1.0,3,8.7072192513369,0.0,3987.0,1.0,1.0,1.0,3,8.7072192513369,0.0,3987.0,1.0,1.0,1.0,3,8.7072192513369,0.0,3987.0,1.0,1.0,1.0,3,8.7072192513369,0.0,3987.0,1.0,1.0,1.0,3,8.7072192513369,0.0,3987.0,1.0,1.0,1.0
104,2614,12634,13,44,4.8332058148431525,10020,25,20,3,40,heatmap_np104_npos2614_napp12634_ips13_max_app44,3,440.69230769230774,10034.0,0.0,0.8914951717587462,2.0367031278354577e-05,0.06080274008087842,3,440.69230769230774,10034.0,0.0,0.8914951717587462,2.0367031278354577e-05,0.06080274008087842,3,440.69230769230774,10034.0,0.0,0.8914951717587462,2.0367031278354577e-05,0.06080274008087842,3,440.69230769230774,10034.0,0.0,0.8914951717587462,2.0367031278354577e-05,0.06080274008087842,3,440.69230769230774,10034.0,0.0,0.8914951717587462,2.0367031278354577e-05,0.06080274008087842,3,440.69230769230774,10034.0,0.0,0.8914951717587462,2.0367031278354577e-05,0.06080274008087842
30,9980,1219,17,8,0.1221442885771543,0,332,20,3,5,heatmap_np30_npos9980_napp1219_ips17_max_app8,3,325.06666666666666,0.0,8741.0,1.0,1.0,1.0,3,325.06666666666666,0.0,8741.0,1.0,1.0,1.0,3,325.06666666666666,0.0,8741.0,1.0,1.0,1.0,3,325.06666666666666,0.0,8741.0,1.0,1.0,1.0,3,325.06666666666666,0.0,8741.0,1.0,1.0,1.0,3,325.06666666666666,0.0,8741.0,1.0,1.0,1.0
770,2256,11561,8,34,5.1245567375886525,9305,2,20,3,31,heatmap_np770_npos2256_napp11561_ips8_max_app34,3,45.04285714285716,10021.0,0.0,0.3552172534094513,0.0,0.031342698830245694,3,45.04285714285716,10021.0,0.0,0.3552172534094513,0.0,0.031342698830245694,3,45.04285714285716,10021.0,0.0,0.3552172534094513,0.0,0.031342698830245694,3,45.04285714285716,10021.0,0.0,0.3552172534094513,0.0,0.031342698830245694,3,45.04285714285716,10021.0,0.0,0.3552172534094513,0.0,0.031342698830245694,3,45.04285714285716,10021.0,0.0,0.3552172534094513,0.0,0.031342698830245694
480,7275,5778,14,49,0.7942268041237114,0,15,20,3,40,heatmap_np480_npos7275_napp5778_ips14_max_app49,20,247.67322916666666,86.75,1508.75,0.871769643475251,0.00034793091512395414,0.3560302625723185,4,589.8374999999999,0.0,1422.0,1.0,0.2987885081343026,0.3560302625723185,4,589.8374999999999,0.0,1422.0,1.0,0.2987885081343026,0.3560302625723185,3,589.8374999999999,44.0,1466.0,1.0,0.31403223621833937,0.3560302625723185,3,589.8374999999999,44.0,1466.0,1.0,0.31403223621833937,0.3560302625723185,3,589.8374999999999,44.0,1466.0,1.0,0.31403223621833937,0.3560302625723185
