n_programs,n_applicants,spots_per_program,interviews_per_spot,simulations_per_s,max_applications,study_min_signal,study_max_signal,result_file_prefix,best_signal_rpp,mean_reviews_per_program_best_rpp,mean_unmatched_applicants_best_rpp,mean_unfilled_spots_best_rpp,best_signal_ua,mean_reviews_per_program_best_ua,mean_unmatched_applicants_best_ua,mean_unfilled_spots_best_ua,best_signal_ufs,mean_reviews_per_program_best_ufs,mean_unmatched_applicants_best_ufs,mean_unfilled_spots_best_ufs
722,80,2,5,20,66,3,40,heatmap_np722_pos1677_sppcalc2_na80_ips5_ma66,40,7.286842105263157,0.0,1364.0,3,7.31301939058172,0.0,1364.0,3,7.31301939058172,0.0,1364.0
308,4331,7,14,20,25,3,22,heatmap_np308_pos2290_sppcalc7_na4331_ips14_ma25,9,127.3672077922078,2175.0,0.0,3,351.54220779220776,2175.0,0.0,3,351.54220779220776,2175.0,0.0
308,4331,7,14,20,25,3,22,heatmap_np308_pos2290_sppcalc7_na4331_ips14_ma25,9,127.3672077922078,2175.0,0.0,3,351.54220779220776,2175.0,0.0,3,351.54220779220776,2175.0,0.0
237,14762,17,6,20,24,3,21,heatmap_np237_pos4120_sppcalc17_na14762_ips6_ma24,3,186.86075949367088,10733.0,0.0,3,186.86075949367088,10733.0,0.0,3,186.86075949367088,10733.0,0.0
237,14762,17,6,20,24,3,21,heatmap_np237_pos4120_sppcalc17_na14762_ips6_ma24,3,186.86075949367088,10733.0,0.0,3,186.86075949367088,10733.0,0.0,3,186.86075949367088,10733.0,0.0
485,9205,7,20,20,57,3,40,heatmap_np485_pos3874_sppcalc7_na9205_ips20_ma57,9,175.64659793814434,5810.0,0.0,3,1081.824742268041,5810.0,0.0,3,1081.824742268041,5810.0,0.0
485,9205,7,20,20,57,3,40,heatmap_np485_pos3874_sppcalc7_na9205_ips20_ma57,9,175.64659793814434,5810.0,0.0,3,1081.824742268041,5810.0,0.0,3,1081.824742268041,5810.0,0.0
53,13455,127,14,20,27,3,24,heatmap_np53_pos6735_sppcalc127_na13455_ips14_ma27,8,2030.9433962264152,6724.0,0.0,3,6854.433962264152,6724.0,0.0,3,6854.433962264152,6724.0,0.0
53,13455,127,14,20,27,3,24,heatmap_np53_pos6735_sppcalc127_na13455_ips14_ma27,8,2030.9433962264152,6724.0,0.0,3,6854.433962264152,6724.0,0.0,3,6854.433962264152,6724.0,0.0
702,6475,11,6,20,48,3,40,heatmap_np702_pos7973_sppcalc11_na6475_ips6_ma48,9,91.30420227920229,254.2,1501.2,6,410.8344729344729,0.25,1247.25,6,410.8344729344729,0.25,1247.25
702,6475,11,6,20,48,3,40,heatmap_np702_pos7973_sppcalc11_na6475_ips6_ma48,9,91.30420227920229,254.2,1501.2,6,410.8344729344729,0.25,1247.25,6,410.8344729344729,0.25,1247.25
486,767,14,19,20,57,3,40,heatmap_np486_pos6850_sppcalc14_na767_ips19_ma57,3,89.95679012345678,0.0,6037.0,3,89.95679012345678,0.0,6037.0,3,89.95679012345678,0.0,6037.0
486,767,14,19,20,57,3,40,heatmap_np486_pos6850_sppcalc14_na767_ips19_ma57,3,89.95679012345678,0.0,6037.0,3,89.95679012345678,0.0,6037.0,3,89.95679012345678,0.0,6037.0
357,2023,22,20,20,43,3,40,heatmap_np357_pos8178_sppcalc22_na2023_ips20_ma43,3,243.66666666666669,0.0,5831.0,3,243.66666666666669,0.0,5831.0,3,243.66666666666669,0.0,5831.0
357,2023,22,20,20,43,3,40,heatmap_np357_pos8178_sppcalc22_na2023_ips20_ma43,3,243.66666666666669,0.0,5831.0,3,243.66666666666669,0.0,5831.0,3,243.66666666666669,0.0,5831.0
26,4228,249,19,20,12,3,9,heatmap_np26_pos6484_sppcalc249_na4228_ips19_ma12,3,1951.384615384616,0.0,2246.0,3,1951.384615384616,0.0,2246.0,3,1951.384615384616,0.0,2246.0
26,4228,249,19,20,12,3,9,heatmap_np26_pos6484_sppcalc249_na4228_ips19_ma12,3,1951.384615384616,0.0,2246.0,3,1951.384615384616,0.0,2246.0,3,1951.384615384616,0.0,2246.0
615,12429,12,17,20,58,3,40,heatmap_np615_pos7961_sppcalc12_na12429_ips17_ma58,12,246.18056910569112,5049.0,0.0,3,1172.165853658537,5049.0,0.0,3,1172.165853658537,5049.0,0.0
615,12429,12,17,20,58,3,40,heatmap_np615_pos7961_sppcalc12_na12429_ips17_ma58,12,246.18056910569112,5049.0,0.0,3,1172.165853658537,5049.0,0.0,3,1172.165853658537,5049.0,0.0
244,5209,32,15,20,58,3,40,heatmap_np244_pos7856_sppcalc32_na5209_ips15_ma58,25,536.4053278688525,58.5,2657.5,4,1238.2049180327872,0.0,2599.0,4,1238.2049180327872,0.0,2599.0
244,5209,32,15,20,58,3,40,heatmap_np244_pos7856_sppcalc32_na5209_ips15_ma58,25,536.4053278688525,58.5,2657.5,4,1238.2049180327872,0.0,2599.0,4,1238.2049180327872,0.0,2599.0
358,2299,24,17,20,74,3,40,heatmap_np358_pos8849_sppcalc24_na2299_ips17_ma74,3,475.2122905027933,0.0,6293.0,3,475.2122905027933,0.0,6293.0,3,475.2122905027933,0.0,6293.0
358,2299,24,17,20,74,3,40,heatmap_np358_pos8849_sppcalc24_na2299_ips17_ma74,3,475.2122905027933,0.0,6293.0,3,475.2122905027933,0.0,6293.0,3,475.2122905027933,0.0,6293.0
95,7285,77,13,20,18,3,15,heatmap_np95_pos7399_sppcalc77_na7285_ips13_ma18,14,1076.3563157894737,114.05,144.05,11,1380.315789473684,39.5,69.5,11,1380.315789473684,39.5,69.5
95,7285,77,13,20,18,3,15,heatmap_np95_pos7399_sppcalc77_na7285_ips13_ma18,14,1076.3563157894737,114.05,144.05,11,1380.315789473684,39.5,69.5,11,1380.315789473684,39.5,69.5
380,6645,12,19,20,49,3,40,heatmap_np380_pos4873_sppcalc12_na6645_ips19_ma49,15,268.08223684210526,2085.0,0.0,4,856.8552631578947,2085.0,0.0,4,856.8552631578947,2085.0,0.0
380,6645,12,19,20,49,3,40,heatmap_np380_pos4873_sppcalc12_na6645_ips19_ma49,15,268.08223684210526,2085.0,0.0,4,856.8552631578947,2085.0,0.0,4,856.8552631578947,2085.0,0.0
492,5157,12,18,20,56,3,40,heatmap_np492_pos6309_sppcalc12_na5157_ips18_ma56,24,253.9759146341464,117.4,864.4,10,586.9756097560974,0.0,747.0,10,586.9756097560974,0.0,747.0
492,5157,12,18,20,56,3,40,heatmap_np492_pos6309_sppcalc12_na5157_ips18_ma56,24,253.9759146341464,117.4,864.4,10,586.9756097560974,0.0,747.0,10,586.9756097560974,0.0,747.0
751,15976,8,8,20,21,3,18,heatmap_np751_pos6422_sppcalc8_na15976_ips8_ma21,4,87.521637816245,9968.0,0.0,3,253.1583888149134,9968.0,0.0,3,253.1583888149134,9968.0,0.0
