n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,spots_per_program,simulations_per_s,study_min_signal,applicants_per_position,minimum_unmatched,study_max_signal,result_file_prefix
172.0,6629.0,14514.0,15.0,36.0,38.0,20.0,3.0,2.1894705083723034,7885.0,33.0,heatmap_np172_npos6629_napp14514_ips15_max_app36
615.0,4358.0,8667.0,10.0,5.0,7.0,20.0,3.0,1.9887563102340524,4309.0,4.0,heatmap_np615_npos4358_napp8667_ips10_max_app5
535.0,9251.0,10042.0,20.0,21.0,17.0,20.0,3.0,1.0855042698086694,791.0,18.0,heatmap_np535_npos9251_napp10042_ips20_max_app21
290.0,1658.0,4230.0,5.0,53.0,5.0,20.0,3.0,2.551266586248492,2572.0,40.0,heatmap_np290_npos1658_napp4230_ips5_max_app53
356.0,7546.0,4951.0,7.0,60.0,21.0,20.0,3.0,0.6561091969255235,0.0,40.0,heatmap_np356_npos7546_napp4951_ips7_max_app60
748.0,5173.0,501.0,12.0,13.0,6.0,20.0,3.0,0.09684902377730524,0.0,10.0,heatmap_np748_npos5173_napp501_ips12_max_app13
104.0,2614.0,12634.0,13.0,44.0,25.0,20.0,3.0,4.8332058148431525,10020.0,40.0,heatmap_np104_npos2614_napp12634_ips13_max_app44
30.0,9980.0,1219.0,17.0,8.0,332.0,20.0,3.0,0.12214428857715431,0.0,5.0,heatmap_np30_npos9980_napp1219_ips17_max_app8
770.0,2256.0,11561.0,8.0,34.0,2.0,20.0,3.0,5.1245567375886525,9305.0,31.0,heatmap_np770_npos2256_napp11561_ips8_max_app34
480.0,7275.0,5778.0,14.0,49.0,15.0,20.0,3.0,0.7942268041237114,0.0,40.0,heatmap_np480_npos7275_napp5778_ips14_max_app49
333.0,4882.0,16086.0,11.0,25.0,14.0,20.0,3.0,3.2949610815239656,11204.0,22.0,heatmap_np333_npos4882_napp16086_ips11_max_app25
214.0,5941.0,10799.0,9.0,32.0,27.0,20.0,3.0,1.8177074566571285,4858.0,29.0,heatmap_np214_npos5941_napp10799_ips9_max_app32
562.0,3173.0,3126.0,16.0,56.0,5.0,20.0,3.0,0.9851875196974472,0.0,40.0,heatmap_np562_npos3173_napp3126_ips16_max_app56
692.0,8231.0,15303.0,6.0,41.0,11.0,20.0,3.0,1.8591908638075567,7072.0,38.0,heatmap_np692_npos8231_napp15303_ips6_max_app41
147.0,805.0,7664.0,19.0,16.0,5.0,20.0,3.0,9.520496894409938,6859.0,13.0,heatmap_np147_npos805_napp7664_ips19_max_app16
121.0,8707.0,11991.0,12.0,52.0,71.0,20.0,3.0,1.3771677960261859,3284.0,40.0,heatmap_np121_npos8707_napp11991_ips12_max_app52
667.0,953.0,2211.0,13.0,19.0,1.0,20.0,3.0,2.3200419727177333,1258.0,16.0,heatmap_np667_npos953_napp2211_ips13_max_app19
586.0,6080.0,16499.0,7.0,7.0,10.0,20.0,3.0,2.7136513157894737,10419.0,4.0,heatmap_np586_npos6080_napp16499_ips7_max_app7
