Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
unmatched_applicants,2458.0,1300.0,1266.0,1259.0,1291.0,1393.0,1528.0,1719.0,1849.0,1936.0,2073.0,2152.0,2222.0,2299.0
unmatched_applicants,2453.0,1321.0,1271.0,1260.0,1286.0,1393.0,1523.0,1713.0,1836.0,1925.0,2052.0,2146.0,2217.0,2290.0
unmatched_applicants,2435.0,1302.0,1269.0,1259.0,1292.0,1387.0,1524.0,1713.0,1822.0,1912.0,2067.0,2151.0,2211.0,2300.0
unmatched_applicants,2456.0,1302.0,1262.0,1259.0,1276.0,1396.0,1537.0,1683.0,1834.0,1956.0,2044.0,2141.0,2219.0,2294.0
unmatched_applicants,2447.0,1306.0,1268.0,1259.0,1289.0,1404.0,1544.0,1686.0,1857.0,1975.0,2056.0,2151.0,2231.0,2271.0
unmatched_applicants,2458.0,1297.0,1264.0,1260.0,1284.0,1379.0,1517.0,1674.0,1837.0,1942.0,2058.0,2155.0,2216.0,2301.0
unmatched_applicants,2457.0,1319.0,1262.0,1259.0,1285.0,1394.0,1558.0,1686.0,1846.0,1944.0,2054.0,2162.0,2226.0,2298.0
unmatched_applicants,2449.0,1310.0,1264.0,1259.0,1287.0,1399.0,1549.0,1689.0,1850.0,1921.0,2046.0,2128.0,2232.0,2271.0
unmatched_applicants,2431.0,1329.0,1270.0,1259.0,1272.0,1401.0,1536.0,1704.0,1825.0,1952.0,2065.0,2157.0,2226.0,2296.0
unmatched_applicants,2454.0,1300.0,1271.0,1258.0,1293.0,1384.0,1554.0,1689.0,1799.0,1952.0,2048.0,2160.0,2209.0,2299.0
unfilled_spots,1200.0,42.0,8.0,1.0,33.0,135.0,270.0,461.0,591.0,678.0,815.0,894.0,964.0,1041.0
unfilled_spots,1195.0,63.0,13.0,2.0,28.0,135.0,265.0,455.0,578.0,667.0,794.0,888.0,959.0,1032.0
unfilled_spots,1177.0,44.0,11.0,1.0,34.0,129.0,266.0,455.0,564.0,654.0,809.0,893.0,953.0,1042.0
unfilled_spots,1198.0,44.0,4.0,1.0,18.0,138.0,279.0,425.0,576.0,698.0,786.0,883.0,961.0,1036.0
unfilled_spots,1189.0,48.0,10.0,1.0,31.0,146.0,286.0,428.0,599.0,717.0,798.0,893.0,973.0,1013.0
unfilled_spots,1200.0,39.0,6.0,2.0,26.0,121.0,259.0,416.0,579.0,684.0,800.0,897.0,958.0,1043.0
unfilled_spots,1199.0,61.0,4.0,1.0,27.0,136.0,300.0,428.0,588.0,686.0,796.0,904.0,968.0,1040.0
unfilled_spots,1191.0,52.0,6.0,1.0,29.0,141.0,291.0,431.0,592.0,663.0,788.0,870.0,974.0,1013.0
unfilled_spots,1173.0,71.0,12.0,1.0,14.0,143.0,278.0,446.0,567.0,694.0,807.0,899.0,968.0,1038.0
unfilled_spots,1196.0,42.0,13.0,0.0,35.0,126.0,296.0,431.0,541.0,694.0,790.0,902.0,951.0,1041.0
