Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
unmatched_applicants,197.0,131.0,131.0,131.0,130.0,130.0,132.0,135.0,139.0,147.0,157.0,158.0,168.0,170.0,182.0
unmatched_applicants,191.0,131.0,130.0,130.0,130.0,130.0,136.0,132.0,142.0,150.0,158.0,158.0,171.0,174.0,182.0
unmatched_applicants,194.0,130.0,132.0,130.0,130.0,130.0,130.0,137.0,137.0,144.0,159.0,159.0,167.0,172.0,179.0
unmatched_applicants,196.0,131.0,130.0,130.0,130.0,130.0,132.0,134.0,141.0,142.0,155.0,159.0,164.0,173.0,176.0
unmatched_applicants,193.0,133.0,130.0,130.0,130.0,131.0,132.0,136.0,142.0,144.0,157.0,164.0,166.0,172.0,184.0
unmatched_applicants,192.0,131.0,130.0,130.0,130.0,130.0,130.0,137.0,139.0,143.0,154.0,167.0,172.0,172.0,172.0
unmatched_applicants,197.0,133.0,132.0,130.0,130.0,130.0,135.0,134.0,141.0,143.0,154.0,163.0,167.0,172.0,180.0
unmatched_applicants,193.0,131.0,134.0,130.0,130.0,130.0,130.0,133.0,143.0,148.0,154.0,157.0,174.0,173.0,180.0
unmatched_applicants,196.0,133.0,130.0,130.0,130.0,130.0,132.0,131.0,137.0,150.0,156.0,159.0,168.0,172.0,178.0
unmatched_applicants,189.0,130.0,130.0,131.0,130.0,130.0,135.0,135.0,139.0,144.0,151.0,158.0,167.0,174.0,184.0
unfilled_spots,67.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,9.0,17.0,27.0,28.0,38.0,40.0,52.0
unfilled_spots,61.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,12.0,20.0,28.0,28.0,41.0,44.0,52.0
unfilled_spots,64.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,14.0,29.0,29.0,37.0,42.0,49.0
unfilled_spots,66.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,12.0,25.0,29.0,34.0,43.0,46.0
unfilled_spots,63.0,3.0,0.0,0.0,0.0,1.0,2.0,6.0,12.0,14.0,27.0,34.0,36.0,42.0,54.0
unfilled_spots,62.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,13.0,24.0,37.0,42.0,42.0,42.0
unfilled_spots,67.0,3.0,2.0,0.0,0.0,0.0,5.0,4.0,11.0,13.0,24.0,33.0,37.0,42.0,50.0
unfilled_spots,63.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,13.0,18.0,24.0,27.0,44.0,43.0,50.0
unfilled_spots,66.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,20.0,26.0,29.0,38.0,42.0,48.0
unfilled_spots,59.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,9.0,14.0,21.0,28.0,37.0,44.0,54.0
reviews_per_program,62.333333333333336,62.333333333333336,61.743589743589745,56.01282051282051,44.30769230769231,27.012820512820515,22.94871794871795,26.807692307692307,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,62.333333333333336,57.15384615384615,43.06410256410256,29.794871794871796,24.935897435897434,25.666666666666668,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,61.69230769230769,56.94871794871795,42.717948717948715,29.205128205128204,25.987179487179485,26.602564102564102,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,62.333333333333336,58.205128205128204,44.256410256410255,27.615384615384617,25.012820512820515,25.666666666666668,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,61.61538461538461,57.69230769230769,41.51282051282051,28.012820512820515,24.384615384615383,26.55128205128205,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,62.333333333333336,58.62820512820513,44.666666666666664,29.012820512820515,24.96153846153846,26.44871794871795,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,62.333333333333336,58.3974358974359,41.41025641025641,28.794871794871796,25.03846153846154,25.666666666666668,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,61.61538461538461,58.01282051282051,40.52564102564103,28.743589743589745,24.743589743589745,25.666666666666668,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,62.333333333333336,56.06410256410256,43.0,30.576923076923077,25.91025641025641,25.666666666666668,29.333333333333332,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
reviews_per_program,62.333333333333336,62.333333333333336,61.46153846153846,58.256410256410255,43.84615384615385,30.397435897435898,26.58974358974359,25.666666666666668,30.166666666666668,33.0,36.666666666666664,40.333333333333336,44.0,47.666666666666664,51.333333333333336
pct_interview_given_signal,0.0,1.0454545454545454,1.0227272727272727,0.9953379953379954,0.9536713286713286,0.848951048951049,0.7249417249417249,0.6218781218781219,0.5454545454545454,0.48484848484848486,0.43636363636363634,0.39669421487603307,0.36363636363636365,0.3356643356643357,0.3116883116883117
pct_interview_given_signal,0.0,1.0384615384615385,1.013986013986014,1.008158508158508,0.9527972027972028,0.8328671328671329,0.722027972027972,0.6233766233766234,0.5454545454545454,0.48484848484848486,0.43636363636363634,0.39669421487603307,0.36363636363636365,0.3356643356643357,0.3116883116883117
pct_interview_given_signal,0.0,1.027972027972028,1.027972027972028,1.0,0.9431818181818182,0.8384615384615385,0.7226107226107226,0.6218781218781219,0.5454545454545454,0.48484848484848486,0.43636363636363634,0.39669421487603307,0.36363636363636365,0.3356643356643357,0.3116883116883117
pct_interview_given_signal,0.0,1.0524475524475525,1.0332167832167831,0.993006993006993,0.9606643356643356,0.8573426573426574,0.722027972027972,0.6233766233766234,0.5454545454545454,0.48484848484848486,0.43636363636363634,0.39669421487603307,0.36363636363636365,0.3356643356643357,0.3116883116883117
pct_interview_given_signal,0.0,1.0384615384615385,1.0174825174825175,0.9953379953379954,0.9361888111888111,0.8370629370629371,0.7202797202797203,0.6213786213786214,0.5454545454545454,0.48484848484848486,0.43636363636363634,0.39669421487603307,0.36363636363636365,0.3356643356643357,0.3116883116883117
pct_interview_given_signal,0.0,1.0419580419580419,1.0227272727272727,1.0011655011655012,0.9213286713286714,0.8349650349650349,0.7214452214452215,0.6218781218781219,0.5454545454545454,0.48484848484848486,0.43636363636363634,0.39669421487603307,0.36363636363636365,0.3356643356643357,0.3116883116883117
