Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
unmatched_applicants,663.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,501.0,501.0,513.0,535.0,547.0,567.0,591.0,604.0,615.0,636.0
unmatched_applicants,665.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,499.0,497.0,516.0,519.0,534.0,532.0,573.0,573.0,594.0,613.0,636.0
unmatched_applicants,677.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,500.0,497.0,508.0,512.0,525.0,546.0,565.0,578.0,598.0,619.0,628.0
unmatched_applicants,676.0,493.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,497.0,510.0,520.0,538.0,550.0,559.0,585.0,605.0,611.0,625.0
unmatched_applicants,669.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,496.0,500.0,502.0,510.0,527.0,538.0,574.0,576.0,607.0,609.0,625.0
unmatched_applicants,665.0,494.0,494.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,497.0,501.0,500.0,523.0,522.0,543.0,559.0,579.0,607.0,629.0,631.0
unmatched_applicants,664.0,495.0,493.0,493.0,493.0,493.0,493.0,493.0,496.0,493.0,494.0,502.0,506.0,517.0,521.0,545.0,575.0,577.0,598.0,607.0,635.0
unmatched_applicants,674.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,497.0,493.0,500.0,505.0,524.0,531.0,550.0,566.0,583.0,594.0,614.0,628.0
unmatched_applicants,674.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,496.0,502.0,505.0,515.0,541.0,545.0,566.0,577.0,593.0,602.0,629.0
unmatched_applicants,673.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,495.0,500.0,506.0,511.0,531.0,547.0,567.0,586.0,593.0,625.0,637.0
unfilled_spots,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,20.0,42.0,54.0,74.0,98.0,111.0,122.0,143.0
unfilled_spots,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,23.0,26.0,41.0,39.0,80.0,80.0,101.0,120.0,143.0
unfilled_spots,184.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,15.0,19.0,32.0,53.0,72.0,85.0,105.0,126.0,135.0
unfilled_spots,183.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,27.0,45.0,57.0,66.0,92.0,112.0,118.0,132.0
unfilled_spots,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,17.0,34.0,45.0,81.0,83.0,114.0,116.0,132.0
unfilled_spots,172.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,7.0,30.0,29.0,50.0,66.0,86.0,114.0,136.0,138.0
unfilled_spots,171.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,9.0,13.0,24.0,28.0,52.0,82.0,84.0,105.0,114.0,142.0
unfilled_spots,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,12.0,31.0,38.0,57.0,73.0,90.0,101.0,121.0,135.0
unfilled_spots,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,12.0,22.0,48.0,52.0,73.0,84.0,100.0,109.0,136.0
unfilled_spots,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,18.0,38.0,54.0,74.0,93.0,100.0,132.0,144.0
reviews_per_program,133.7942857142857,133.7942857142857,133.7942857142857,133.7942857142857,133.7942857142857,127.61714285714285,109.70857142857143,76.04571428571428,57.034285714285716,53.72,59.04571428571428,63.988571428571426,69.80571428571429,75.62285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143,110.52571428571429,116.34285714285714
reviews_per_program,133.7942857142857,133.7942857142857,133.7942857142857,133.7942857142857,133.2,127.67428571428572,108.30285714285715,78.33142857142857,55.36,53.33714285714286,58.17142857142857,63.988571428571426,69.80571428571429,75.62285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143,110.52571428571429,116.34285714285714
reviews_per_program,133.7942857142857,133.7942857142857,133.7942857142857,133.7942857142857,133.7942857142857,129.14857142857142,108.97714285714285,74.91428571428571,56.76,54.25714285714286,58.17142857142857,64.38857142857142,69.80571428571429,75.62285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143,110.52571428571429,116.34285714285714
reviews_per_program,133.7942857142857,133.7942857142857,133.7942857142857,133.7942857142857,133.7942857142857,127.40571428571428,107.19428571428571,75.46857142857142,55.78857142857143,55.93142857142857,58.17142857142857,63.988571428571426,69.80571428571429,75.62285714285714,81.44,87.25714285714285,93.07428571428571,98.89142857142858,104.70857142857143,110.52571428571429,116.34285714285714
