Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
reviews_per_program,166.56498673740052,166.56498673740052,166.56498673740052,166.56498673740052,166.56498673740052,152.18037135278516,101.89124668435014,70.08753315649868,71.34482758620689,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992
reviews_per_program,166.56498673740052,166.56498673740052,166.56498673740052,166.56498673740052,165.85145888594164,151.22811671087533,105.3262599469496,73.3236074270557,71.75862068965517,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992
reviews_per_program,166.56498673740052,166.56498673740052,166.56498673740052,166.56498673740052,166.56498673740052,152.21485411140583,106.25994694960212,72.0291777188329,70.62599469496021,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992
pct_interview_given_signal,0.0,1.0118003025718607,1.0124054462934946,1.0076651538073627,1.00446293494705,0.9917700453857792,0.9373676248108926,0.8405446293494705,0.7411497730711044,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.0130105900151285,1.0096822995461423,1.0073625819465457,1.0035552193645991,0.9927987897125568,0.9409984871406959,0.8405878539010158,0.7408093797276853,0.6585308455202555,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.016036308623298,1.01089258698941,1.006152294503278,1.0052193645990923,0.9944326777609682,0.9392334846192637,0.8416684676896478,0.7408093797276853,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.0136157337367624,1.0084720121028745,1.0080685829551186,1.0043872919818457,0.991285930408472,0.9431164901664145,0.8411497730711044,0.7404689863842663,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.0118003025718607,1.0092284417549169,1.0071608673726677,1.0040090771558245,0.9921936459909229,0.935249621785174,0.841711692241193,0.7411875945537065,0.6590351319549504,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.0124054462934946,1.0074130105900152,1.0074634392334847,1.0033282904689864,0.9944931921331316,0.9405446293494705,0.8413226712772855,0.7405446293494705,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.015431164901664,1.0098335854765508,1.0075642965204237,1.0045385779122542,0.9927382753403934,0.9400403429147756,0.8412362221741949,0.7410741301059002,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.0124054462934946,1.0118003025718607,1.0087745839636915,1.0056732223903178,0.9944326777609682,0.9411497730711044,0.8413226712772855,0.7409606656580938,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.0139183055975793,1.0107413010590016,1.0072617246596067,1.0050680786686839,0.9931618759455371,0.9384266263237518,0.8406743030041063,0.740695915279879,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_signal,0.0,1.0105900151285931,1.0101361573373677,1.0071608673726677,1.0045385779122542,0.9957639939485627,0.9409480584972264,0.8400259347309271,0.7410363086232981,0.6590687510505967,0.593161875945537,0.5392380690413974,0.49430156328794755,0.4562783661119516,0.4236870542468122,0.39544125063035807,0.3707261724659607
pct_interview_given_nosignal,0.31219046102396686,0.27332324760463944,0.22981222746284596,0.18178895612708018,0.1275844679778114,0.06948346660903393,0.023647154660770393,0.003983862834089763,0.00022005226241232292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.27325600941334677,0.23013259766841684,0.18184568835098336,0.12782652546646495,0.06911605792089907,0.021971372047015013,0.003958648512355017,0.0004676110576261862,0.00048411497730711046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.27308791393511517,0.22999021091038532,0.18207261724659607,0.12738275340393343,0.06853252647503782,0.022785988595368324,0.0033282904689863843,0.0004676110576261862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.27322239031770046,0.23027498442644834,0.18171331316187594,0.1276046394351992,0.06965636481521505,0.02099383218899104,0.003630862329803328,0.0007151698528400495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.27332324760463944,0.23018599270267864,0.18188350983358548,0.12770549672213818,0.06933218067862545,0.024624694518794368,0.003303076147251639,0.00019254572961078256,3.0257186081694404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.27328962850899313,0.2303995728397259,0.1818267776096823,0.12788703983862834,0.06851091419926518,0.022180844873734434,0.0035300050428643467,0.0006601567872369688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.2731215330307615,0.2301147993236629,0.18180786686838124,0.1275642965204236,0.0691376701966717,0.022413592458978237,0.0035804336863338375,0.00027506532801540364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.27328962850899313,0.2298834208418617,0.18158093797276853,0.12726172465960667,0.06853252647503782,0.021901547771441873,0.0035300050428643467,0.00035758492642002477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.2732055807698773,0.23000800925513928,0.18186459909228442,0.12742309631870902,0.06898638426626323,0.023158384731758408,0.003908219868885527,0.0005501306560308073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.31219046102396686,0.2733904857959321,0.23007920263415502,0.18188350983358548,0.1275642965204236,0.06805705640803977,0.021994646805539392,0.004286434694906707,0.000302571860816944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
