Parameter,0,1,2,3,4,5,6
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unmatched_applicants,84.0,84.0,84.0,84.0,84.0,84.0,84.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,68.6923076923077,46.84615384615385,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,68.61538461538461,46.76923076923077,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,76.15384615384616,46.84615384615385,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,64.76923076923077,50.61538461538461,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,68.07692307692308,43.53846153846154,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,72.84615384615384,50.84615384615385,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,71.61538461538461,53.38461538461539,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,72.46153846153847,46.23076923076923,44.23076923076923,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,76.15384615384616,53.23076923076923,42.30769230769231,50.76923076923077
reviews_per_program,76.15384615384616,76.15384615384616,76.15384615384616,64.38461538461539,49.76923076923077,44.30769230769231,50.76923076923077
pct_interview_given_signal,0.0,1.209090909090909,1.1045454545454545,1.0606060606060606,0.9227272727272727,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.209090909090909,1.1409090909090909,1.0484848484848486,0.9295454545454546,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.1545454545454545,1.1545454545454545,1.0515151515151515,0.9136363636363637,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.1727272727272726,1.1,1.0545454545454545,0.9204545454545454,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.2272727272727273,1.0954545454545455,1.0151515151515151,0.9204545454545454,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.2,1.1045454545454545,1.0454545454545454,0.9090909090909091,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.2272727272727273,1.1272727272727272,1.0424242424242425,0.9204545454545454,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.2,1.1090909090909091,1.0636363636363637,0.9113636363636364,0.7436363636363637,0.6303030303030303
pct_interview_given_signal,0.0,1.209090909090909,1.1409090909090909,1.0606060606060606,0.9159090909090909,0.7563636363636363,0.6303030303030303
pct_interview_given_signal,0.0,1.2272727272727273,1.1045454545454545,1.0272727272727273,0.9272727272727272,0.74,0.6303030303030303
pct_interview_given_nosignal,0.4202020202020202,0.3215909090909091,0.22467532467532467,0.1,0.01818181818181818,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.3215909090909091,0.21428571428571427,0.10606060606060606,0.012727272727272728,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.32840909090909093,0.21038961038961038,0.10454545454545454,0.025454545454545455,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.3261363636363636,0.22597402597402597,0.10303030303030303,0.02,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.31931818181818183,0.22727272727272727,0.12272727272727273,0.02,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.32272727272727275,0.22467532467532467,0.10757575757575757,0.02909090909090909,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.31931818181818183,0.21818181818181817,0.10909090909090909,0.02,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.32272727272727275,0.22337662337662337,0.09848484848484848,0.02727272727272727,0.015909090909090907,0.0
pct_interview_given_nosignal,0.4202020202020202,0.3215909090909091,0.21428571428571427,0.1,0.023636363636363636,0.0,0.0
pct_interview_given_nosignal,0.4202020202020202,0.31931818181818183,0.22467532467532467,0.11666666666666667,0.014545454545454545,0.020454545454545454,0.0
pct_interview_given_application,0.4202020202020202,0.4202020202020202,0.4202020202020202,0.4202020202020202,0.4202020202020202,0.4202020202020202,0.4202020202020202
