Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,219.98611111111111,200.2037037037037,113.47685185185185,60.699074074074076,54.699074074074076,58.888888888888886,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,219.8148148148148,194.3935185185185,113.32407407407408,60.21296296296296,54.69444444444444,59.60648148148148,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,219.86574074074073,196.02777777777777,112.49537037037037,60.995370370370374,52.27777777777778,58.888888888888886,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,220.83333333333334,189.81944444444446,112.38888888888889,61.282407407407405,51.52777777777778,58.888888888888886,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,219.08796296296296,197.94907407407408,114.625,60.583333333333336,54.74074074074074,58.888888888888886,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,220.83333333333334,194.98611111111111,115.06944444444444,63.3287037037037,52.291666666666664,58.888888888888886,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,219.9351851851852,196.0648148148148,110.26388888888889,65.93981481481481,54.71296296296296,58.888888888888886,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
reviews_per_program,220.83333333333334,220.83333333333334,220.83333333333334,219.84259259259258,198.3564814814815,111.67592592592592,58.675925925925924,52.9537037037037,58.888888888888886,66.25,73.61111111111111,80.97222222222223,88.33333333333333,95.69444444444444,103.05555555555556,110.41666666666667,117.77777777777777,125.13888888888889,132.5,139.86111111111111,147.22222222222223,154.58333333333334,161.94444444444446,169.30555555555554,176.66666666666666,184.02777777777777,191.38888888888889,198.75
pct_interview_given_signal,0.0,1.009433962264151,1.0125786163522013,1.0073375262054507,0.9904088050314466,0.9275471698113208,0.809958071278826,0.6984725965858042,0.6113207547169811,0.5433962264150943,0.4890566037735849,0.44459691252144085,0.4075471698113208,0.37619738751814225,0.34932614555256064,0.3260377358490566,0.30566037735849055,0.2876803551609323,0.27169811320754716,0.2573982125124131,0.24452830188679245,0.23288409703504043,0.22229845626072042,0.21263330598851518,0.2037735849056604,0.19562264150943395,0.18809869375907112,0.1811320754716981
pct_interview_given_signal,0.0,1.0188679245283019,1.011635220125786,1.0056603773584907,0.9915094339622641,0.9246540880503145,0.8085953878406709,0.698292902066487,0.6113207547169811,0.5433962264150943,0.4890566037735849,0.44459691252144085,0.4075471698113208,0.37619738751814225,0.34932614555256064,0.3260377358490566,0.30566037735849055,0.2876803551609323,0.27169811320754716,0.2573982125124131,0.24452830188679245,0.23288409703504043,0.22229845626072042,0.21263330598851518,0.2037735849056604,0.19562264150943395,0.18809869375907112,0.1811320754716981
