Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,456.6949152542373,99.42372881355932,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,453.91525423728814,101.69491525423729,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,434.4237288135593,96.76271186440678,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,477.7542372881356,99.41525423728814,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,470.75,94.4957627118644,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,440.728813559322,99.44491525423729,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,432.6525423728813,104.37288135593221,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
reviews_per_program,635.542372881356,635.542372881356,635.542372881356,465.0720338983051,108.54661016949153,109.57627118644068,131.4915254237288,153.40677966101694,175.32203389830508,197.23728813559322,219.15254237288136,241.0677966101695,262.9830508474576,284.89830508474574,306.8135593220339,328.728813559322,350.64406779661016,372.5593220338983,394.47457627118644,416.3898305084746,438.3050847457627,460.22033898305085,482.135593220339,504.0508474576271,525.9661016949152,547.8813559322034,569.7966101694915
pct_interview_given_signal,0.0,1.009860788863109,1.0045436968290797,0.9748646558391338,0.7980955143078113,0.6388244392884764,0.5323536994070637,0.4563031709203403,0.39926527455529776,0.3549024662713758,0.3194122196442382,0.29037474513112566,0.26617684970353184,0.24570170741864478,0.22815158546017014,0.21294147976282546,0.19963263727764888,0.18788954096719895,0.1774512331356879,0.16811169454959907,0.1597061098221191,0.15210105697344675,0.14518737256556283,0.13887487810619054,0.13308842485176592,0.12776488785769527,0.12285085370932239
pct_interview_given_signal,0.0,1.0094740912606341,1.0052204176334107,0.977184841453983,0.7979021655065739,0.6388244392884764,0.5323536994070637,0.4563031709203403,0.39926527455529776,0.3549024662713758,0.3194122196442382,0.29037474513112566,0.26617684970353184,0.24570170741864478,0.22815158546017014,0.21294147976282546,0.19963263727764888,0.18788954096719895,0.1774512331356879,0.16811169454959907,0.1597061098221191,0.15210105697344675,0.14518737256556283,0.13887487810619054,0.13308842485176592,0.12776488785769527,0.12285085370932239
