Parameter,0,1,2,3,4,5,6,7,8
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unmatched_applicants,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,550.9166666666666,550.9166666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,550.9166666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,550.9166666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,509.3333333333333,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,550.9166666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,510.25,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,508.0,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,550.9166666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,550.9166666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
reviews_per_program,550.9166666666666,550.9166666666666,100.16666666666667,150.25,200.33333333333334,250.41666666666666,300.5,350.5833333333333,400.6666666666667
pct_interview_given_signal,0.0,1.0232945091514143,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.0232945091514143,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.0199667221297837,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.021630615640599,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.0232945091514143,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.0133111480865225,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.021630615640599,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.0199667221297837,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.026622296173045,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_signal,0.0,1.026622296173045,0.6389351081530782,0.4259567387687188,0.3194675540765391,0.2555740432612313,0.2129783693843594,0.18255288804373662,0.15973377703826955
pct_interview_given_nosignal,0.11617001966419603,0.02545757071547421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11617001966419603,0.02545757071547421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11617001966419603,0.025790349417637273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11617001966419603,0.02562396006655574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.11617001966419603,0.02545757071547421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
