Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
unmatched_applicants,2941.0,1814.0,1797.0,1803.0,1822.0,1917.0,2013.0,2099.0,2222.0,2284.0,2374.0,2421.0,2491.0,2557.0,2591.0,2631.0,2686.0,2707.0,2731.0,2751.0,2783.0,2796.0,2842.0,2855.0,2854.0,2867.0,2900.0,2892.0
unmatched_applicants,2945.0,1805.0,1797.0,1799.0,1840.0,1917.0,2000.0,2106.0,2213.0,2290.0,2381.0,2432.0,2492.0,2554.0,2601.0,2645.0,2681.0,2695.0,2736.0,2759.0,2782.0,2818.0,2825.0,2848.0,2856.0,2886.0,2901.0,2910.0
unmatched_applicants,2955.0,1811.0,1797.0,1799.0,1822.0,1898.0,2013.0,2118.0,2194.0,2297.0,2379.0,2461.0,2499.0,2563.0,2595.0,2640.0,2672.0,2696.0,2731.0,2768.0,2783.0,2800.0,2829.0,2836.0,2844.0,2874.0,2902.0,2905.0
unmatched_applicants,2945.0,1813.0,1797.0,1799.0,1816.0,1912.0,2004.0,2133.0,2231.0,2310.0,2381.0,2442.0,2501.0,2576.0,2591.0,2647.0,2689.0,2710.0,2719.0,2770.0,2779.0,2816.0,2819.0,2839.0,2860.0,2878.0,2891.0,2907.0
unmatched_applicants,2939.0,1805.0,1798.0,1800.0,1826.0,1896.0,2029.0,2113.0,2218.0,2293.0,2400.0,2438.0,2492.0,2542.0,2604.0,2616.0,2676.0,2708.0,2738.0,2761.0,2794.0,2805.0,2817.0,2851.0,2866.0,2881.0,2887.0,2904.0
unmatched_applicants,2942.0,1806.0,1797.0,1799.0,1815.0,1912.0,2012.0,2125.0,2220.0,2304.0,2366.0,2432.0,2497.0,2555.0,2583.0,2624.0,2663.0,2709.0,2739.0,2762.0,2785.0,2805.0,2829.0,2857.0,2855.0,2879.0,2892.0,2912.0
unmatched_applicants,2937.0,1806.0,1797.0,1797.0,1828.0,1911.0,1990.0,2088.0,2221.0,2302.0,2377.0,2457.0,2520.0,2558.0,2608.0,2644.0,2655.0,2705.0,2732.0,2761.0,2770.0,2802.0,2822.0,2856.0,2867.0,2865.0,2903.0,2903.0
unmatched_applicants,2938.0,1809.0,1797.0,1798.0,1816.0,1899.0,2017.0,2124.0,2205.0,2299.0,2379.0,2448.0,2495.0,2529.0,2586.0,2643.0,2677.0,2709.0,2741.0,2759.0,2788.0,2800.0,2831.0,2864.0,2870.0,2883.0,2899.0,2914.0
unmatched_applicants,2941.0,1809.0,1799.0,1800.0,1823.0,1903.0,2007.0,2108.0,2206.0,2303.0,2386.0,2439.0,2516.0,2554.0,2603.0,2636.0,2670.0,2714.0,2737.0,2760.0,2795.0,2805.0,2822.0,2837.0,2852.0,2888.0,2893.0,2903.0
unmatched_applicants,2944.0,1808.0,1797.0,1797.0,1836.0,1887.0,2005.0,2120.0,2223.0,2296.0,2376.0,2449.0,2505.0,2557.0,2617.0,2643.0,2670.0,2708.0,2730.0,2756.0,2798.0,2802.0,2820.0,2835.0,2865.0,2880.0,2887.0,2908.0
unfilled_spots,1144.0,17.0,0.0,6.0,25.0,120.0,216.0,302.0,425.0,487.0,577.0,624.0,694.0,760.0,794.0,834.0,889.0,910.0,934.0,954.0,986.0,999.0,1045.0,1058.0,1057.0,1070.0,1103.0,1095.0
unfilled_spots,1148.0,8.0,0.0,2.0,43.0,120.0,203.0,309.0,416.0,493.0,584.0,635.0,695.0,757.0,804.0,848.0,884.0,898.0,939.0,962.0,985.0,1021.0,1028.0,1051.0,1059.0,1089.0,1104.0,1113.0
unfilled_spots,1158.0,14.0,0.0,2.0,25.0,101.0,216.0,321.0,397.0,500.0,582.0,664.0,702.0,766.0,798.0,843.0,875.0,899.0,934.0,971.0,986.0,1003.0,1032.0,1039.0,1047.0,1077.0,1105.0,1108.0
unfilled_spots,1148.0,16.0,0.0,2.0,19.0,115.0,207.0,336.0,434.0,513.0,584.0,645.0,704.0,779.0,794.0,850.0,892.0,913.0,922.0,973.0,982.0,1019.0,1022.0,1042.0,1063.0,1081.0,1094.0,1110.0
unfilled_spots,1142.0,8.0,1.0,3.0,29.0,99.0,232.0,316.0,421.0,496.0,603.0,641.0,695.0,745.0,807.0,819.0,879.0,911.0,941.0,964.0,997.0,1008.0,1020.0,1054.0,1069.0,1084.0,1090.0,1107.0
unfilled_spots,1145.0,9.0,0.0,2.0,18.0,115.0,215.0,328.0,423.0,507.0,569.0,635.0,700.0,758.0,786.0,827.0,866.0,912.0,942.0,965.0,988.0,1008.0,1032.0,1060.0,1058.0,1082.0,1095.0,1115.0
unfilled_spots,1140.0,9.0,0.0,0.0,31.0,114.0,193.0,291.0,424.0,505.0,580.0,660.0,723.0,761.0,811.0,847.0,858.0,908.0,935.0,964.0,973.0,1005.0,1025.0,1059.0,1070.0,1068.0,1106.0,1106.0
unfilled_spots,1141.0,12.0,0.0,1.0,19.0,102.0,220.0,327.0,408.0,502.0,582.0,651.0,698.0,732.0,789.0,846.0,880.0,912.0,944.0,962.0,991.0,1003.0,1034.0,1067.0,1073.0,1086.0,1102.0,1117.0
unfilled_spots,1144.0,12.0,2.0,3.0,26.0,106.0,210.0,311.0,409.0,506.0,589.0,642.0,719.0,757.0,806.0,839.0,873.0,917.0,940.0,963.0,998.0,1008.0,1025.0,1040.0,1055.0,1091.0,1096.0,1106.0
unfilled_spots,1147.0,11.0,0.0,0.0,39.0,90.0,208.0,323.0,426.0,499.0,579.0,652.0,708.0,760.0,820.0,846.0,873.0,911.0,933.0,959.0,1001.0,1005.0,1023.0,1038.0,1068.0,1083.0,1090.0,1111.0
reviews_per_program,262.9973474801061,262.9973474801061,186.3129973474801,50.3342175066313,35.59416445623342,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548
reviews_per_program,262.9973474801061,262.3501326259947,191.06631299734747,49.61273209549071,35.06631299734748,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548
reviews_per_program,262.9973474801061,262.9973474801061,181.82758620689654,47.96021220159151,35.06631299734748,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548
reviews_per_program,262.9973474801061,262.9973474801061,183.24668435013263,49.758620689655174,35.69230769230769,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548
reviews_per_program,262.9973474801061,262.9973474801061,183.29708222811672,48.09814323607427,35.06631299734748,43.83289124668435,52.59946949602122,61.36604774535809,70.13262599469496,78.89920424403184,87.6657824933687,96.43236074270557,105.19893899204244,113.96551724137932,122.73209549071618,131.49867374005305,140.26525198938992,149.0318302387268,157.79840848806367,166.56498673740052,175.3315649867374,184.09814323607426,192.86472148541114,201.631299734748,210.3978779840849,219.16445623342176,227.93103448275863,236.69761273209548
