Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
unmatched_applicants,2915.0,1298.0,1265.0,1264.0,1292.0,1381.0,1531.0,1721.0,1834.0,1949.0,2060.0,2132.0,2201.0,2302.0,2348.0,2406.0,2452.0,2513.0,2551.0,2559.0,2594.0,2638.0,2657.0,2671.0,2699.0,2717.0,2746.0,2758.0,2782.0,2794.0,2813.0,2821.0,2841.0,2850.0,2845.0,2871.0,2876.0
unmatched_applicants,2909.0,1313.0,1261.0,1258.0,1285.0,1395.0,1554.0,1681.0,1848.0,1947.0,2048.0,2129.0,2210.0,2290.0,2355.0,2411.0,2436.0,2502.0,2518.0,2575.0,2613.0,2628.0,2656.0,2685.0,2681.0,2728.0,2731.0,2760.0,2763.0,2794.0,2798.0,2814.0,2839.0,2850.0,2859.0,2868.0,2878.0
unmatched_applicants,2909.0,1302.0,1263.0,1259.0,1292.0,1411.0,1517.0,1675.0,1836.0,1982.0,2049.0,2136.0,2227.0,2294.0,2341.0,2410.0,2445.0,2501.0,2548.0,2555.0,2590.0,2628.0,2653.0,2669.0,2700.0,2715.0,2741.0,2766.0,2760.0,2787.0,2810.0,2820.0,2831.0,2843.0,2855.0,2874.0,2871.0
unmatched_applicants,2898.0,1311.0,1266.0,1260.0,1299.0,1394.0,1519.0,1690.0,1813.0,1963.0,2068.0,2159.0,2227.0,2298.0,2340.0,2399.0,2471.0,2500.0,2534.0,2569.0,2607.0,2616.0,2674.0,2680.0,2708.0,2724.0,2743.0,2759.0,2781.0,2790.0,2799.0,2835.0,2838.0,2842.0,2864.0,2874.0,2889.0
unmatched_applicants,2912.0,1315.0,1269.0,1258.0,1287.0,1390.0,1496.0,1727.0,1854.0,1946.0,2047.0,2148.0,2216.0,2282.0,2363.0,2399.0,2447.0,2489.0,2526.0,2559.0,2600.0,2639.0,2643.0,2689.0,2689.0,2716.0,2736.0,2760.0,2769.0,2793.0,2809.0,2818.0,2844.0,2843.0,2862.0,2857.0,2877.0
unmatched_applicants,2911.0,1298.0,1264.0,1261.0,1292.0,1387.0,1520.0,1703.0,1844.0,1953.0,2040.0,2132.0,2228.0,2273.0,2377.0,2407.0,2461.0,2495.0,2534.0,2561.0,2610.0,2622.0,2661.0,2680.0,2699.0,2729.0,2737.0,2774.0,2768.0,2790.0,2799.0,2821.0,2834.0,2850.0,2860.0,2866.0,2877.0
unmatched_applicants,2923.0,1305.0,1264.0,1264.0,1288.0,1376.0,1558.0,1712.0,1838.0,1934.0,2066.0,2142.0,2244.0,2288.0,2349.0,2404.0,2451.0,2493.0,2530.0,2559.0,2601.0,2632.0,2643.0,2681.0,2705.0,2726.0,2743.0,2752.0,2781.0,2784.0,2807.0,2820.0,2832.0,2854.0,2862.0,2859.0,2876.0
unmatched_applicants,2921.0,1311.0,1265.0,1261.0,1283.0,1368.0,1560.0,1692.0,1808.0,1936.0,2064.0,2144.0,2212.0,2288.0,2346.0,2417.0,2460.0,2486.0,2524.0,2564.0,2582.0,2622.0,2671.0,2675.0,2702.0,2723.0,2748.0,2750.0,2774.0,2779.0,2779.0,2820.0,2844.0,2850.0,2852.0,2860.0,2887.0
unmatched_applicants,2911.0,1300.0,1273.0,1258.0,1291.0,1386.0,1534.0,1684.0,1851.0,1938.0,2067.0,2142.0,2229.0,2297.0,2352.0,2388.0,2451.0,2494.0,2524.0,2562.0,2590.0,2631.0,2654.0,2684.0,2704.0,2730.0,2732.0,2756.0,2766.0,2787.0,2810.0,2815.0,2832.0,2850.0,2849.0,2879.0,2878.0
unmatched_applicants,2907.0,1320.0,1265.0,1258.0,1289.0,1379.0,1515.0,1722.0,1839.0,1954.0,2056.0,2156.0,2217.0,2291.0,2358.0,2412.0,2451.0,2506.0,2522.0,2556.0,2610.0,2621.0,2660.0,2694.0,2714.0,2723.0,2738.0,2746.0,2778.0,2799.0,2795.0,2828.0,2836.0,2842.0,2851.0,2863.0,2873.0
