Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
unmatched_applicants,2448.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1317.0,1332.0,1384.0,1444.0,1531.0,1573.0,1674.0,1745.0,1799.0,1847.0,1926.0,1962.0,2011.0,2059.0,2097.0,2122.0,2139.0,2198.0,2215.0,2238.0,2266.0,2286.0,2304.0,2338.0,2350.0,2366.0,2385.0
unmatched_applicants,2446.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1319.0,1345.0,1392.0,1442.0,1540.0,1586.0,1686.0,1747.0,1784.0,1848.0,1911.0,1959.0,2032.0,2030.0,2101.0,2114.0,2155.0,2190.0,2215.0,2243.0,2248.0,2295.0,2322.0,2330.0,2349.0,2377.0,2397.0
unmatched_applicants,2441.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1341.0,1365.0,1461.0,1526.0,1622.0,1659.0,1741.0,1812.0,1860.0,1913.0,1963.0,1999.0,2022.0,2062.0,2119.0,2163.0,2174.0,2220.0,2251.0,2276.0,2281.0,2318.0,2333.0,2359.0,2376.0,2397.0
unmatched_applicants,2434.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1322.0,1326.0,1396.0,1458.0,1510.0,1586.0,1663.0,1732.0,1773.0,1862.0,1907.0,1966.0,2013.0,2039.0,2081.0,2130.0,2160.0,2180.0,2196.0,2234.0,2278.0,2302.0,2320.0,2338.0,2348.0,2381.0,2390.0
unmatched_applicants,2450.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1321.0,1341.0,1391.0,1430.0,1509.0,1609.0,1654.0,1713.0,1796.0,1861.0,1904.0,1965.0,2003.0,2041.0,2074.0,2122.0,2153.0,2173.0,2209.0,2240.0,2248.0,2288.0,2314.0,2349.0,2345.0,2379.0,2393.0
unmatched_applicants,2434.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1351.0,1387.0,1460.0,1513.0,1587.0,1687.0,1731.0,1814.0,1864.0,1902.0,1958.0,2025.0,2047.0,2073.0,2133.0,2143.0,2173.0,2224.0,2252.0,2257.0,2288.0,2320.0,2337.0,2365.0,2366.0,2375.0
unmatched_applicants,2444.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1342.0,1381.0,1471.0,1497.0,1635.0,1703.0,1737.0,1807.0,1880.0,1880.0,1951.0,2023.0,2054.0,2073.0,2111.0,2153.0,2193.0,2203.0,2255.0,2277.0,2285.0,2304.0,2327.0,2350.0,2377.0,2376.0
unmatched_applicants,2450.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1322.0,1330.0,1387.0,1440.0,1520.0,1614.0,1674.0,1746.0,1812.0,1861.0,1898.0,1937.0,2018.0,2037.0,2077.0,2130.0,2159.0,2172.0,2201.0,2236.0,2259.0,2290.0,2315.0,2323.0,2342.0,2373.0,2406.0
unmatched_applicants,2444.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1317.0,1323.0,1330.0,1380.0,1464.0,1519.0,1594.0,1669.0,1759.0,1797.0,1844.0,1908.0,1941.0,2031.0,2050.0,2106.0,2131.0,2165.0,2191.0,2218.0,2233.0,2275.0,2303.0,2306.0,2339.0,2359.0,2355.0,2387.0
unmatched_applicants,2434.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1316.0,1328.0,1332.0,1387.0,1438.0,1514.0,1608.0,1658.0,1756.0,1793.0,1877.0,1931.0,1962.0,2004.0,2053.0,2077.0,2128.0,2132.0,2181.0,2219.0,2247.0,2264.0,2292.0,2324.0,2346.0,2355.0,2378.0,2391.0
unfilled_spots,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,68.0,128.0,215.0,257.0,358.0,429.0,483.0,531.0,610.0,646.0,695.0,743.0,781.0,806.0,823.0,882.0,899.0,922.0,950.0,970.0,988.0,1022.0,1034.0,1050.0,1069.0
unfilled_spots,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,76.0,126.0,224.0,270.0,370.0,431.0,468.0,532.0,595.0,643.0,716.0,714.0,785.0,798.0,839.0,874.0,899.0,927.0,932.0,979.0,1006.0,1014.0,1033.0,1061.0,1081.0
unfilled_spots,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,49.0,145.0,210.0,306.0,343.0,425.0,496.0,544.0,597.0,647.0,683.0,706.0,746.0,803.0,847.0,858.0,904.0,935.0,960.0,965.0,1002.0,1017.0,1043.0,1060.0,1081.0
unfilled_spots,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,80.0,142.0,194.0,270.0,347.0,416.0,457.0,546.0,591.0,650.0,697.0,723.0,765.0,814.0,844.0,864.0,880.0,918.0,962.0,986.0,1004.0,1022.0,1032.0,1065.0,1074.0
unfilled_spots,1134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,75.0,114.0,193.0,293.0,338.0,397.0,480.0,545.0,588.0,649.0,687.0,725.0,758.0,806.0,837.0,857.0,893.0,924.0,932.0,972.0,998.0,1033.0,1029.0,1063.0,1077.0
unfilled_spots,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,71.0,144.0,197.0,271.0,371.0,415.0,498.0,548.0,586.0,642.0,709.0,731.0,757.0,817.0,827.0,857.0,908.0,936.0,941.0,972.0,1004.0,1021.0,1049.0,1050.0,1059.0
unfilled_spots,1128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,65.0,155.0,181.0,319.0,387.0,421.0,491.0,564.0,564.0,635.0,707.0,738.0,757.0,795.0,837.0,877.0,887.0,939.0,961.0,969.0,988.0,1011.0,1034.0,1061.0,1060.0
unfilled_spots,1134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,71.0,124.0,204.0,298.0,358.0,430.0,496.0,545.0,582.0,621.0,702.0,721.0,761.0,814.0,843.0,856.0,885.0,920.0,943.0,974.0,999.0,1007.0,1026.0,1057.0,1090.0
unfilled_spots,1128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,14.0,64.0,148.0,203.0,278.0,353.0,443.0,481.0,528.0,592.0,625.0,715.0,734.0,790.0,815.0,849.0,875.0,902.0,917.0,959.0,987.0,990.0,1023.0,1043.0,1039.0,1071.0
unfilled_spots,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,71.0,122.0,198.0,292.0,342.0,440.0,477.0,561.0,615.0,646.0,688.0,737.0,761.0,812.0,816.0,865.0,903.0,931.0,948.0,976.0,1008.0,1030.0,1039.0,1062.0,1075.0
reviews_per_program,606.5925925925926,606.5925925925926,606.5925925925926,606.5925925925926,606.5925925925926,601.042328042328,431.0,167.06349206349208,127.70370370370371,143.66666666666666,159.62962962962962,175.59259259259258,191.55555555555554,207.5185185185185,223.4814814814815,239.44444444444446,255.40740740740742,271.3703703703704,287.3333333333333,303.2962962962963,319.25925925925924,335.22222222222223,351.18518518518516,367.14814814814815,383.1111111111111,399.0740740740741,415.037037037037,431.0,446.962962962963,462.9259259259259,478.8888888888889,494.85185185185185,510.81481481481484,526.7777777777778,542.7407407407408,558.7037037037037
