Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
unfilled_spots,7094.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,125.0,375.0,846.0,1405.0,1913.0,2469.0,2917.0,3310.0,3724.0,4061.0,4317.0,4619.0,4947.0,5118.0,5387.0,5522.0,5783.0,5959.0,6121.0,6249.0,6395.0,6511.0,6656.0,6816.0
unfilled_spots,7091.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,454.0,788.0,1446.0,1970.0,2424.0,2910.0,3291.0,3762.0,4000.0,4359.0,4651.0,4867.0,5149.0,5392.0,5583.0,5815.0,5967.0,6126.0,6256.0,6383.0,6488.0,6663.0,6786.0
unfilled_spots,7122.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,351.0,872.0,1479.0,1959.0,2470.0,2926.0,3367.0,3654.0,4017.0,4382.0,4681.0,4932.0,5148.0,5326.0,5514.0,5725.0,5927.0,6082.0,6243.0,6392.0,6534.0,6639.0,6785.0
unfilled_spots,7052.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,66.0,395.0,822.0,1513.0,1953.0,2515.0,2880.0,3322.0,3748.0,4024.0,4343.0,4674.0,4898.0,5132.0,5393.0,5611.0,5792.0,5958.0,6142.0,6258.0,6381.0,6549.0,6689.0,6765.0
reviews_per_program,791.009234828496,791.009234828496,791.009234828496,791.009234828496,791.009234828496,785.584432717678,552.6240105540898,205.71240105540898,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678
reviews_per_program,791.009234828496,791.009234828496,791.009234828496,791.009234828496,791.009234828496,784.7810026385224,561.7664907651715,191.85356200527704,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678
reviews_per_program,791.009234828496,791.009234828496,791.009234828496,791.009234828496,791.009234828496,789.2532981530343,547.631926121372,194.98284960422163,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678
reviews_per_program,791.009234828496,791.009234828496,791.009234828496,791.009234828496,791.009234828496,787.3759894459102,553.3390501319261,199.0527704485488,181.59498680738787,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678
reviews_per_program,791.009234828496,791.009234828496,791.009234828496,791.009234828496,791.009234828496,782.8601583113457,556.924802110818,194.17678100263853,181.60158311345646,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678
reviews_per_program,791.009234828496,791.009234828496,791.009234828496,791.009234828496,791.009234828496,784.8614775725594,547.4142480211082,193.80343007915567,180.80211081794195,203.40237467018468,226.00263852242745,248.60290237467018,271.2031662269129,293.80343007915565,316.40369393139844,339.00395778364117,361.6042216358839,384.20448548812664,406.80474934036937,429.40501319261216,452.0052770448549,474.6055408970976,497.20580474934036,519.8060686015831,542.4063324538258,565.0065963060686,587.6068601583113,610.2071240105541,632.8073878627969,655.4076517150396,678.0079155672823,700.6081794195251,723.2084432717678
