Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
reviews_per_program,243.62962962962962,243.62962962962962,71.81481481481481,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742
reviews_per_program,243.62962962962962,235.11111111111111,95.25925925925925,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742
reviews_per_program,243.62962962962962,243.62962962962962,118.81481481481481,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742
reviews_per_program,243.62962962962962,235.2962962962963,79.77777777777777,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742
reviews_per_program,243.62962962962962,243.62962962962962,86.62962962962963,33.22222222222222,44.2962962962963,55.370370370370374,66.44444444444444,77.51851851851852,88.5925925925926,99.66666666666667,110.74074074074075,121.81481481481481,132.88888888888889,143.96296296296296,155.03703703703704,166.11111111111111,177.1851851851852,188.25925925925927,199.33333333333334,210.40740740740742
pct_interview_given_signal,0.0,1.0167224080267558,0.8745819397993311,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.0334448160535117,0.8511705685618729,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.0334448160535117,0.8745819397993311,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.0267558528428093,0.8494983277591973,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.0267558528428093,0.8645484949832776,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.020066889632107,0.8812709030100334,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.0100334448160535,0.8478260869565217,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.0234113712374582,0.8411371237458194,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.0267558528428093,0.8695652173913043,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_signal,0.0,1.020066889632107,0.8662207357859532,0.6020066889632107,0.451505016722408,0.3612040133779264,0.3010033444816054,0.25800286669851885,0.225752508361204,0.20066889632107024,0.1806020066889632,0.164183642444512,0.1505016722408027,0.1389246205299717,0.12900143334925943,0.12040133779264214,0.112876254180602,0.10623647452291954,0.10033444816053512,0.09505368773103327
pct_interview_given_nosignal,0.082091821222256,0.037585602802994104,0.002842809364548495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.03678929765886288,0.005183946488294315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.03678929765886288,0.002842809364548495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.03710781971651537,0.005351170568561873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.03710781971651537,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.037426341774167864,0.002173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.0379041248606466,0.005518394648829431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.037267080745341616,0.006187290969899666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.03710781971651537,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.082091821222256,0.037426341774167864,0.0036789297658862876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
