Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
reviews_per_program,492.46153846153845,462.35164835164835,52.02197802197802,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901
reviews_per_program,492.46153846153845,456.032967032967,51.824175824175825,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901
reviews_per_program,492.46153846153845,466.31868131868134,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901
reviews_per_program,492.46153846153845,470.54945054945057,51.582417582417584,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901
reviews_per_program,492.46153846153845,461.64835164835165,46.9010989010989,70.35164835164835,93.8021978021978,117.25274725274726,140.7032967032967,164.15384615384616,187.6043956043956,211.05494505494505,234.5054945054945,257.95604395604397,281.4065934065934,304.85714285714283,328.3076923076923,351.75824175824175,375.2087912087912,398.65934065934067,422.1098901098901
pct_interview_given_signal,0.0,1.0018744142455482,0.680178069353327,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,0.993439550140581,0.6820524835988754,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,1.0014058106841612,0.6822867853795689,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,0.9985941893158388,0.6822867853795689,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,1.0037488284910965,0.6820524835988754,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,1.000468603561387,0.6818181818181818,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,0.9976569821930646,0.6815838800374883,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,0.9976569821930646,0.6822867853795689,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,1.0032802249297095,0.6815838800374883,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_signal,0.0,1.0,0.6822867853795689,0.4548578569197126,0.34114339268978444,0.27291471415182755,0.2274289284598563,0.1949390815370197,0.17057169634489222,0.1516192856399042,0.13645735707591378,0.12405214279628525,0.11371446422992815,0.1049671977507029,0.09746954076850985,0.09097157138394252,0.08528584817244611,0.08026903357406692,0.0758096428199521
pct_interview_given_nosignal,0.06497969384567323,0.018134957825679476,0.00022197010802545256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.018556701030927835,2.4663345336161398e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.01815838800374883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.01829896907216495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.01804123711340206,2.4663345336161398e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.018205248359887537,4.9326690672322796e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.018345829428303654,7.399003600848419e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.018345829428303654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.018064667291471416,7.399003600848419e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.06497969384567323,0.01822867853795689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
